physical_distance_cm,frame_count,burst_period,estimated_distance_cm,rtt_ns,elapsed_ms
# Starting automated sampling: 13 configs x 1000 samples = 13000 total
# Config 1/13: frame_count=16, burst_period=2
150,16,2,255,17,309
150,16,2,285,19,321
150,16,2,270,18,298
150,16,2,285,19,308
150,16,2,270,18,307
150,16,2,285,19,302
150,16,2,285,19,310
150,16,2,270,18,304
150,16,2,270,18,313
150,16,2,270,18,307
150,16,2,255,17,316
150,16,2,270,18,292
150,16,2,270,18,307
150,16,2,270,18,308
150,16,2,270,18,308
150,16,2,270,18,306
150,16,2,270,18,307
150,16,2,270,18,322
150,16,2,300,20,807
150,16,2,285,19,307
150,16,2,270,18,322
150,16,2,240,16,293
150,16,2,255,17,319
150,16,2,255,17,293
150,16,2,255,17,307
150,16,2,255,17,308
150,16,2,255,17,321
150,16,2,255,17,306
150,16,2,285,19,293
150,16,2,255,17,314
150,16,2,270,18,321
150,16,2,255,17,287
150,16,2,255,17,307
150,16,2,255,17,322
150,16,2,270,18,295
150,16,2,255,17,305
150,16,2,270,18,320
150,16,2,270,18,308
150,16,2,270,18,804
150,16,2,255,17,307
150,16,2,270,18,309
150,16,2,255,17,320
150,16,2,270,18,314
150,16,2,270,18,301
150,16,2,270,18,292
150,16,2,270,18,308
150,16,2,270,18,307
150,16,2,270,18,313
150,16,2,270,18,304
150,16,2,285,19,318
150,16,2,270,18,309
150,16,2,270,18,291
150,16,2,270,18,310
150,16,2,270,18,315
150,16,2,270,18,312
150,16,2,270,18,292
150,16,2,285,19,307
150,16,2,255,17,308
150,16,2,270,18,321
150,16,2,270,18,307
150,16,2,270,18,294
150,16,2,270,18,307
150,16,2,270,18,307
150,16,2,255,17,307
150,16,2,270,18,322
150,16,2,270,18,293
150,16,2,270,18,309
150,16,2,270,18,332
150,16,2,255,17,807
150,16,2,270,18,297
150,16,2,270,18,304
150,16,2,255,17,305
150,16,2,270,18,322
150,16,2,270,18,296
150,16,2,285,19,327
150,16,2,285,19,291
150,16,2,270,18,307
150,16,2,255,17,319
150,16,2,270,18,294
150,16,2,270,18,316
150,16,2,285,19,293
150,16,2,255,17,308
150,16,2,270,18,306
150,16,2,285,19,309
150,16,2,300,20,307
150,16,2,270,18,307
150,16,2,300,20,321
150,16,2,255,17,306
150,16,2,270,18,295
150,16,2,285,19,309
150,16,2,270,18,306
150,16,2,285,19,305
150,16,2,270,18,322
150,16,2,285,19,307
150,16,2,270,18,295
150,16,2,270,18,308
150,16,2,270,18,319
150,16,2,285,19,293
150,16,2,270,18,306
150,16,2,285,19,322
150,16,2,285,19,294
150,16,2,270,18,307
150,16,2,270,18,307
150,16,2,270,18,306
150,16,2,270,18,325
150,16,2,285,19,294
150,16,2,270,18,320
150,16,2,270,18,815
150,16,2,285,19,312
150,16,2,270,18,803
150,16,2,285,19,307
150,16,2,270,18,309
150,16,2,285,19,316
150,16,2,270,18,307
150,16,2,270,18,307
150,16,2,270,18,298
150,16,2,270,18,320
150,16,2,270,18,307
150,16,2,270,18,293
150,16,2,270,18,308
150,16,2,270,18,321
150,16,2,270,18,294
150,16,2,270,18,305
150,16,2,270,18,308
150,16,2,270,18,321
150,16,2,270,18,293
150,16,2,270,18,322
150,16,2,270,18,294
150,16,2,270,18,306
150,16,2,270,18,315
150,16,2,270,18,300
150,16,2,270,18,307
150,16,2,270,18,308
150,16,2,285,19,306
150,16,2,270,18,316
150,16,2,285,19,308
150,16,2,270,18,304
150,16,2,270,18,308
150,16,2,270,18,318
150,16,2,285,19,305
150,16,2,285,19,305
150,16,2,285,19,309
150,16,2,285,19,297
150,16,2,270,18,307
150,16,2,270,18,307
150,16,2,285,19,307
150,16,2,285,19,311
150,16,2,270,18,316
150,16,2,270,18,308
150,16,2,285,19,305
150,16,2,270,18,295
150,16,2,285,19,311
150,16,2,270,18,303
150,16,2,270,18,308
150,16,2,270,18,318
150,16,2,285,19,295
150,16,2,270,18,312
150,16,2,255,17,306
150,16,2,270,18,317
150,16,2,270,18,295
150,16,2,270,18,318
150,16,2,285,19,296
150,16,2,285,19,305
150,16,2,270,18,309
150,16,2,270,18,320
150,16,2,270,18,292
150,16,2,285,19,325
150,16,2,270,18,801
150,16,2,285,19,316
150,16,2,270,18,316
150,16,2,285,19,801
150,16,2,270,18,312
150,16,2,255,17,317
150,16,2,270,18,300
150,16,2,270,18,303
150,16,2,270,18,319
150,16,2,270,18,307
150,16,2,270,18,294
150,16,2,270,18,306
150,16,2,270,18,312
150,16,2,270,18,317
150,16,2,270,18,308
150,16,2,255,17,291
150,16,2,255,17,308
150,16,2,270,18,307
150,16,2,270,18,308
150,16,2,270,18,310
150,16,2,255,17,304
150,16,2,270,18,324
150,16,2,270,18,290
150,16,2,270,18,308
150,16,2,270,18,311
150,16,2,270,18,303
150,16,2,270,18,311
150,16,2,270,18,321
150,16,2,255,17,293
150,16,2,255,17,304
150,16,2,270,18,323
150,16,2,270,18,291
150,16,2,270,18,308
150,16,2,285,19,307
150,16,2,255,17,321
150,16,2,270,18,296
150,16,2,255,17,319
150,16,2,255,17,293
150,16,2,255,17,323
150,16,2,270,18,291
150,16,2,270,18,310
150,16,2,255,17,319
150,16,2,255,17,308
150,16,2,255,17,811
150,16,2,255,17,307
150,16,2,270,18,315
150,16,2,255,17,299
150,16,2,255,17,307
150,16,2,270,18,300
150,16,2,270,18,322
150,16,2,285,19,293
150,16,2,255,17,325
150,16,2,255,17,307
150,16,2,255,17,296
150,16,2,270,18,308
150,16,2,270,18,299
150,16,2,270,18,315
150,16,2,270,18,307
150,16,2,270,18,300
150,16,2,270,18,315
150,16,2,270,18,307
150,16,2,270,18,315
150,16,2,270,18,306
150,16,2,270,18,308
150,16,2,270,18,299
150,16,2,285,19,308
150,16,2,270,18,305
150,16,2,270,18,305
150,16,2,285,19,307
150,16,2,285,19,308
150,16,2,270,18,307
150,16,2,285,19,311
150,16,2,270,18,310
150,16,2,285,19,304
150,16,2,270,18,318
150,16,2,285,19,297
150,16,2,270,18,308
150,16,2,270,18,306
150,16,2,270,18,301
150,16,2,270,18,314
150,16,2,270,18,301
150,16,2,270,18,323
150,16,2,255,17,295
150,16,2,285,19,306
150,16,2,255,17,307
150,16,2,270,18,306
150,16,2,270,18,312
150,16,2,270,18,305
150,16,2,270,18,306
150,16,2,270,18,307
150,16,2,270,18,317
150,16,2,255,17,295
150,16,2,285,19,315
150,16,2,255,17,315
150,16,2,270,18,300
150,16,2,270,18,302
150,16,2,270,18,310
150,16,2,270,18,314
