physical_distance_cm,frame_count,burst_period,estimated_distance_cm,rtt_ns,elapsed_ms
# Starting automated sampling: 5 configs x 1000 samples = 5000 total
# Config 1/5: frame_count=16, burst_period=2
2400,16,2,2520,168,250
2400,16,2,2535,169,311
2400,16,2,2460,164,307
2400,16,2,2460,164,819
2400,16,2,2490,166,308
2400,16,2,2490,166,294
2400,16,2,2490,166,306
2400,16,2,2475,165,322
2400,16,2,2460,164,309
2400,16,2,2475,165,291
2400,16,2,2490,166,308
2400,16,2,2475,165,327
2400,16,2,2505,167,300
2400,16,2,2505,167,308
2400,16,2,2475,165,295
2400,16,2,2505,167,306
2400,16,2,2490,166,320
2400,16,2,2475,165,307
2400,16,2,2475,165,308
2400,16,2,2475,165,292
2400,16,2,2490,166,324
2400,16,2,2475,165,305
2400,16,2,2475,165,820
2400,16,2,2475,165,295
2400,16,2,2475,165,305
2400,16,2,2475,165,321
2400,16,2,2475,165,307
2400,16,2,2475,165,294
2400,16,2,2490,166,321
2400,16,2,2460,164,820
2400,16,2,2475,165,294
2400,16,2,2475,165,305
2400,16,2,2460,164,308
2400,16,2,2490,166,321
2400,16,2,2475,165,316
2400,16,2,2490,166,284
2400,16,2,2520,168,309
2400,16,2,2505,167,322
2400,16,2,2505,167,292
2400,16,2,2490,166,308
2400,16,2,2520,168,311
2400,16,2,2535,169,316
2400,16,2,2490,166,306
2400,16,2,2460,164,308
2400,16,2,2475,165,307
2400,16,2,2460,164,294
2400,16,2,2475,165,309
2400,16,2,2445,163,318
2400,16,2,2460,164,295
2400,16,2,2475,165,308
2400,16,2,2445,163,322
2400,16,2,2460,164,803
2400,16,2,2475,165,321
2400,16,2,2400,160,294
2400,16,2,2505,167,307
2400,16,2,2445,163,307
2400,16,2,2445,163,305
2400,16,2,2490,166,310
2400,16,2,2505,167,327
2400,16,2,2430,162,302
2400,16,2,2460,164,291
2400,16,2,2475,165,321
2400,16,2,2505,167,317
2400,16,2,2520,168,286
2400,16,2,2445,163,319
2400,16,2,2460,164,307
2400,16,2,2490,166,307
2400,16,2,2475,165,294
2400,16,2,2460,164,306
2400,16,2,2475,165,322
2400,16,2,2460,164,294
2400,16,2,2460,164,308
2400,16,2,2460,164,319
2400,16,2,2460,164,308
2400,16,2,2460,164,293
2400,16,2,2460,164,324
2400,16,2,2460,164,291
2400,16,2,2445,163,321
2400,16,2,2475,165,821
2400,16,2,2430,162,292
2400,16,2,2415,161,323
2400,16,2,2445,163,301
2400,16,2,2490,166,297
2400,16,2,2520,168,321
2400,16,2,2505,167,294
2400,16,2,2550,170,320
2400,16,2,2475,165,294
2400,16,2,2475,165,321
2400,16,2,2490,166,804
2400,16,2,2475,165,325
2400,16,2,2535,169,304
2400,16,2,2490,166,308
2400,16,2,2535,169,807
2400,16,2,2505,167,326
2400,16,2,2535,169,299
2400,16,2,2475,165,295
2400,16,2,2505,167,307
2400,16,2,2505,167,324
2400,16,2,2445,163,292
2400,16,2,2490,166,315
2400,16,2,2475,165,311
2400,16,2,2490,166,295
2400,16,2,2505,167,307
2400,16,2,2490,166,323
2400,16,2,2505,167,304
2400,16,2,2490,166,307
2400,16,2,2490,166,308
2400,16,2,2475,165,292
2400,16,2,2445,163,308
2400,16,2,2445,163,308
2400,16,2,2460,164,308
2400,16,2,2460,164,320
2400,16,2,2430,162,307
2400,16,2,2445,163,805
2400,16,2,2445,163,321
2400,16,2,2490,166,307
2400,16,2,2460,164,294
2400,16,2,2415,161,321
2400,16,2,2385,159,293
E (47136) wifi:No FTM Measurements received from responder!
W (47136) puara-module: FTM Report received with non-success status: 5
# Timeout after 5001 ms, retrying...
2400,16,2,2430,162,339
2400,16,2,2505,167,818
2400,16,2,2490,166,294
2400,16,2,2490,166,320
2400,16,2,2520,168,295
2400,16,2,2520,168,308
2400,16,2,2475,165,305
2400,16,2,2475,165,308
2400,16,2,2430,162,320
2400,16,2,2475,165,307
2400,16,2,2445,163,295
2400,16,2,2505,167,307
2400,16,2,2490,166,320
2400,16,2,2535,169,293
2400,16,2,2490,166,309
2400,16,2,2490,166,323
2400,16,2,2475,165,303
2400,16,2,2445,163,294
2400,16,2,2445,163,321
2400,16,2,2430,162,307
2400,16,2,2475,165,313
2400,16,2,2460,164,301
2400,16,2,2400,160,806
2400,16,2,2385,159,321
2400,16,2,2415,161,302
2400,16,2,2445,163,312
2400,16,2,2445,163,315
2400,16,2,2445,163,300
2400,16,2,2430,162,309
2400,16,2,2475,165,293
2400,16,2,2490,166,306
2400,16,2,2520,168,324
2400,16,2,2535,169,291
2400,16,2,2520,168,308
2400,16,2,2550,170,319
2400,16,2,2460,164,309
2400,16,2,2445,163,291
2400,16,2,2490,166,310
2400,16,2,2475,165,319
2400,16,2,2445,163,294
2400,16,2,2445,163,308
2400,16,2,2520,168,306
2400,16,2,2640,176,322
2400,16,2,2490,166,294
E (66705) wifi:No FTM Measurements received from responder!
W (66705) puara-module: FTM Report received with non-success status: 5
# Timeout after 5001 ms, retrying...
2400,16,2,2475,165,336
2400,16,2,2505,167,310
2400,16,2,2535,169,305
2400,16,2,2535,169,307
2400,16,2,2490,166,823
2400,16,2,2460,164,307
2400,16,2,2415,161,296
2400,16,2,2475,165,318
2400,16,2,2505,167,303
2400,16,2,2490,166,308
2400,16,2,2490,166,294
2400,16,2,2490,166,321
2400,16,2,2460,164,307
2400,16,2,2460,164,310
2400,16,2,2445,163,303
2400,16,2,2430,162,308
2400,16,2,2460,164,311
2400,16,2,2475,165,802
2400,16,2,2460,164,307
2400,16,2,2520,168,321
2400,16,2,2505,167,294
2400,16,2,2520,168,320
2400,16,2,2490,166,295
2400,16,2,2475,165,324
2400,16,2,2475,165,291
2400,16,2,2475,165,319
2400,16,2,2475,165,295
2400,16,2,2460,164,320
2400,16,2,2505,167,307
2400,16,2,2505,167,311
2400,16,2,2475,165,303
2400,16,2,2475,165,320
2400,16,2,2460,164,294
2400,16,2,2475,165,308
2400,16,2,2460,164,307
2400,16,2,2460,164,294
2400,16,2,2490,166,321
2400,16,2,2460,164,306
2400,16,2,2445,163,296
2400,16,2,2445,163,319
E (85027) wifi:No FTM Measurements received from responder!
W (85027) puara-module: FTM Report received with non-success status: 5
# Timeout after 5001 ms, retrying...
2400,16,2,2550,170,326
2400,16,2,2490,166,308
2400,16,2,2490,166,816
2400,16,2,2460,164,308
2400,16,2,2490,166,294
2400,16,2,2445,163,307
2400,16,2,2430,162,306
2400,16,2,2475,165,310
2400,16,2,2490,166,319
2400,16,2,2520,168,294
2400,16,2,2520,168,306
2400,16,2,2520,168,321
2400,16,2,2565,171,309
2400,16,2,2550,170,824
2400,16,2,2535,169,288
2400,16,2,2520,168,319
2400,16,2,2520,168,313
2400,16,2,2535,169,293
2400,16,2,2520,168,303
2400,16,2,2520,168,309
2400,16,2,2505,167,319
2400,16,2,2535,169,294
2400,16,2,2520,168,321
2400,16,2,2550,170,822
2400,16,2,2550,170,292
2400,16,2,2535,169,305
2400,16,2,2535,169,308
2400,16,2,2535,169,309
2400,16,2,2535,169,320
2400,16,2,2520,168,292
2400,16,2,2535,169,325
2400,16,2,2520,168,303
2400,16,2,2520,168,308
2400,16,2,2520,168,293
2400,16,2,2520,168,321
2400,16,2,2520,168,293
2400,16,2,2550,170,321
2400,16,2,2535,169,308
2400,16,2,2550,170,307
2400,16,2,2550,170,306
2400,16,2,2490,166,822
2400,16,2,2490,166,306
2400,16,2,2475,165,303
2400,16,2,2520,168,310
2400,16,2,2505,167,308
2400,16,2,2490,166,292
2400,16,2,2505,167,308
2400,16,2,2475,165,309
2400,16,2,2490,166,307
2400,16,2,2460,164,319
2400,16,2,2505,167,310
2400,16,2,2505,167,817
2400,16,2,2445,163,295
2400,16,2,2475,165,307
2400,16,2,2475,165,320
2400,16,2,2475,165,293
2400,16,2,2490,166,321
2400,16,2,2475,165,307
2400,16,2,2475,165,307
2400,16,2,2475,165,308
2400,16,2,2445,163,306
2400,16,2,2445,163,308
2400,16,2,2445,163,307
2400,16,2,2460,164,293
2400,16,2,2460,164,310
2400,16,2,2445,163,321
2400,16,2,2490,166,803
2400,16,2,2475,165,321
2400,16,2,2490,166,293
2400,16,2,2445,163,313
2400,16,2,2460,164,302
2400,16,2,2445,163,308
2400,16,2,2460,164,330
2400,16,2,2475,165,297
2400,16,2,2505,167,307
2400,16,2,2490,166,309
2400,16,2,2520,168,308
2400,16,2,2445,163,294
2400,16,2,2460,164,318
2400,16,2,2445,163,299
2400,16,2,2460,164,316
2400,16,2,2460,164,307
2400,16,2,2475,165,300
2400,16,2,2475,165,317
2400,16,2,2475,165,292
2400,16,2,2475,165,307
2400,16,2,2475,165,307
2400,16,2,2460,164,308
2400,16,2,2460,164,308
2400,16,2,2460,164,324
2400,16,2,2430,162,291
2400,16,2,2460,164,322
2400,16,2,2445,163,290
2400,16,2,2460,164,321
2400,16,2,2445,163,308
2400,16,2,2430,162,312
2400,16,2,2460,164,301
2400,16,2,2460,164,307
2400,16,2,2460,164,806
2400,16,2,2460,164,309
2400,16,2,2445,163,319
2400,16,2,2460,164,295
2400,16,2,2460,164,321
2400,16,2,2445,163,292
2400,16,2,2445,163,321
2400,16,2,2460,164,307
2400,16,2,2475,165,819
2400,16,2,2445,163,296
2400,16,2,2490,166,306
2400,16,2,2460,164,319
2400,16,2,2475,165,820
2400,16,2,2475,165,319
2400,16,2,2475,165,298
2400,16,2,2460,164,290
2400,16,2,2460,164,308
2400,16,2,2490,166,307
2400,16,2,2490,166,322
2400,16,2,2490,166,298
2400,16,2,2505,167,304
2400,16,2,2460,164,321
2400,16,2,2490,166,293
2400,16,2,2505,167,319
2400,16,2,2535,169,806
2400,16,2,2490,166,308
2400,16,2,2475,165,306
2400,16,2,2490,166,321
2400,16,2,2490,166,294
2400,16,2,2490,166,321
E (134496) wifi:No FTM Measurements received from responder!
W (134496) puara-module: FTM Report received with non-success status: 5
# Timeout after 5001 ms, retrying...
2400,16,2,2430,162,325
2400,16,2,2430,162,306
2400,16,2,2475,165,307
2400,16,2,2415,161,308
2400,16,2,2445,163,306
2400,16,2,2460,164,307
2400,16,2,2400,160,819
2400,16,2,2430,162,307
2400,16,2,2460,164,310
2400,16,2,2475,165,305
2400,16,2,2460,164,307
2400,16,2,2385,159,307
2400,16,2,2445,163,314
2400,16,2,2460,164,301
2400,16,2,2460,164,823
2400,16,2,2475,165,291
2400,16,2,2445,163,320
2400,16,2,2460,164,307
2400,16,2,2460,164,319
2400,16,2,2445,163,284
2400,16,2,2415,161,318
2400,16,2,2430,162,293
2400,16,2,2430,162,322
2400,16,2,2445,163,314
2400,16,2,2445,163,300
2400,16,2,2490,166,297
2400,16,2,2430,162,317
2400,16,2,2475,165,299
2400,16,2,2445,163,316
2400,16,2,2460,164,308
2400,16,2,2460,164,307
2400,16,2,2460,164,306
2400,16,2,2415,161,308
2400,16,2,2475,165,306
2400,16,2,2460,164,309
2400,16,2,2430,162,306
2400,16,2,2475,165,314
2400,16,2,2445,163,301
2400,16,2,2445,163,310
2400,16,2,2460,164,304
2400,16,2,2460,164,805
2400,16,2,2460,164,321
2400,16,2,2460,164,294
2400,16,2,2445,163,321
2400,16,2,2445,163,295
