physical_distance_cm,frame_count,burst_period,estimated_distance_cm,rtt_ns,elapsed_ms
# Starting automated sampling: 5 configs x 1000 samples = 5000 total
# Config 1/5: frame_count=16, burst_period=2
1800,16,2,2175,145,239
1800,16,2,2220,148,319
1800,16,2,2235,149,295
1800,16,2,2220,148,309
1800,16,2,2250,150,318
1800,16,2,2340,156,298
1800,16,2,2310,154,304
1800,16,2,2175,145,319
1800,16,2,2145,143,301
1800,16,2,2145,143,316
1800,16,2,2115,141,309
1800,16,2,2115,141,290
1800,16,2,2220,148,309
1800,16,2,2250,150,325
1800,16,2,2250,150,293
1800,16,2,2250,150,321
1800,16,2,2205,147,292
1800,16,2,2220,148,309
1800,16,2,2235,149,303
1800,16,2,2370,158,307
1800,16,2,2235,149,307
1800,16,2,2310,154,307
1800,16,2,2220,148,310
1800,16,2,2280,152,315
1800,16,2,2280,152,302
1800,16,2,2250,150,305
1800,16,2,2280,152,306
1800,16,2,2265,151,308
1800,16,2,2295,153,308
1800,16,2,2280,152,304
1800,16,2,2295,153,305
1800,16,2,2310,154,311
1800,16,2,2325,155,308
1800,16,2,2325,155,306
1800,16,2,2310,154,306
1800,16,2,2280,152,324
1800,16,2,2265,151,291
1800,16,2,2295,153,310
1800,16,2,2325,155,303
1800,16,2,2340,156,320
1800,16,2,2295,153,811
1800,16,2,2310,154,320
1800,16,2,2295,153,312
1800,16,2,2220,148,287
1800,16,2,2205,147,318
1800,16,2,2250,150,297
1800,16,2,2340,156,309
1800,16,2,2340,156,318
1800,16,2,2310,154,305
1800,16,2,2250,150,311
1800,16,2,2295,153,291
1800,16,2,2280,152,313
1800,16,2,2310,154,301
1800,16,2,2280,152,318
1800,16,2,2265,151,309
1800,16,2,2265,151,307
1800,16,2,2265,151,806
1800,16,2,2340,156,308
1800,16,2,2340,156,306
1800,16,2,2280,152,308
1800,16,2,2355,157,321
1800,16,2,2235,149,307
1800,16,2,2190,146,294
1800,16,2,2250,150,320
1800,16,2,2190,146,300
1800,16,2,2325,155,308
1800,16,2,2265,151,303
1800,16,2,2250,150,310
1800,16,2,2220,148,318
1800,16,2,2295,153,803
1800,16,2,2265,151,345
1800,16,2,2265,151,795
1800,16,2,2280,152,824
1800,16,2,2265,151,814
1800,16,2,2265,151,308
1800,16,2,2250,150,804
1800,16,2,2265,151,326
1800,16,2,2280,152,320
1800,16,2,2220,148,290
1800,16,2,2250,150,829
1800,16,2,2250,150,286
1800,16,2,2220,148,308
1800,16,2,2190,146,320
1800,16,2,2190,146,304
1800,16,2,2205,147,308
1800,16,2,2220,148,311
1800,16,2,2205,147,303
1800,16,2,2220,148,308
1800,16,2,2205,147,295
1800,16,2,2220,148,306
1800,16,2,2205,147,307
1800,16,2,2190,146,321
1800,16,2,2190,146,292
1800,16,2,2220,148,314
1800,16,2,2250,150,314
1800,16,2,2220,148,298
1800,16,2,2220,148,305
1800,16,2,2205,147,310
1800,16,2,2235,149,317
1800,16,2,2235,149,307
1800,16,2,2235,149,294
1800,16,2,2265,151,321
1800,16,2,2295,153,295
1800,16,2,2265,151,318
1800,16,2,2295,153,820
1800,16,2,2295,153,311
1800,16,2,2265,151,291
1800,16,2,2265,151,307
1800,16,2,2205,147,310
1800,16,2,2235,149,322
1800,16,2,2295,153,291
1800,16,2,2250,150,305
1800,16,2,2205,147,321
1800,16,2,2235,149,804
1800,16,2,2190,146,309
1800,16,2,2295,153,306
1800,16,2,2190,146,314
1800,16,2,2280,152,317
1800,16,2,2295,153,803
1800,16,2,2145,143,326
1800,16,2,2145,143,815
1800,16,2,2175,145,307
1800,16,2,2160,144,295
1800,16,2,2205,147,319
1800,16,2,2130,142,309
1800,16,2,2190,146,307
1800,16,2,2250,150,306
1800,16,2,2160,144,307
1800,16,2,2175,145,296
1800,16,2,2190,146,322
1800,16,2,2220,148,296
1800,16,2,2220,148,303
1800,16,2,2145,143,319
1800,16,2,2175,145,293
1800,16,2,2160,144,321
1800,16,2,2235,149,295
1800,16,2,2190,146,309
1800,16,2,2190,146,326
1800,16,2,2220,148,810
1800,16,2,2280,152,296
1800,16,2,2385,159,320
1800,16,2,2310,154,819
1800,16,2,2310,154,304
1800,16,2,2175,145,303
1800,16,2,2235,149,302
1800,16,2,2220,148,320
1800,16,2,2265,151,321
1800,16,2,2280,152,293
1800,16,2,2280,152,806
1800,16,2,2190,146,324
1800,16,2,2205,147,804
1800,16,2,2220,148,306
1800,16,2,2250,150,310
1800,16,2,2235,149,304
1800,16,2,2190,146,311
1800,16,2,2205,147,303
1800,16,2,2220,148,310
1800,16,2,2220,148,318
1800,16,2,2235,149,312
1800,16,2,2205,147,308
1800,16,2,2265,151,818
1800,16,2,2310,154,303
1800,16,2,2295,153,292
1800,16,2,2250,150,317
1800,16,2,2220,148,319
1800,16,2,2220,148,286
1800,16,2,2220,148,322
1800,16,2,2250,150,294
1800,16,2,2265,151,320
1800,16,2,2235,149,303
1800,16,2,2205,147,299
1800,16,2,2190,146,306
1800,16,2,2220,148,312
1800,16,2,2220,148,305
1800,16,2,2220,148,304
1800,16,2,2220,148,322
1800,16,2,2220,148,809
1800,16,2,2205,147,304
1800,16,2,2190,146,306
1800,16,2,2205,147,321
1800,16,2,2190,146,308
1800,16,2,2235,149,805
1800,16,2,2250,150,309
1800,16,2,2250,150,305
1800,16,2,2220,148,308
1800,16,2,2265,151,310
1800,16,2,2250,150,315
1800,16,2,2205,147,316
1800,16,2,2205,147,301
1800,16,2,2250,150,308
1800,16,2,2235,149,293
1800,16,2,2235,149,308
1800,16,2,2235,149,320
1800,16,2,2235,149,293
1800,16,2,2235,149,321
1800,16,2,2235,149,295
1800,16,2,2235,149,320
1800,16,2,2265,151,294
1800,16,2,2250,150,307
1800,16,2,2265,151,307
1800,16,2,2250,150,321
1800,16,2,2235,149,295
1800,16,2,2235,149,326
1800,16,2,2220,148,301
1800,16,2,2235,149,312
1800,16,2,2250,150,289
1800,16,2,2235,149,322
1800,16,2,2235,149,304
1800,16,2,2235,149,308
1800,16,2,2220,148,308
1800,16,2,2265,151,299
1800,16,2,2220,148,316
1800,16,2,2250,150,306
1800,16,2,2220,148,326
1800,16,2,2235,149,285
1800,16,2,2235,149,311
1800,16,2,2205,147,298
1800,16,2,2205,147,307
1800,16,2,2205,147,307
1800,16,2,2220,148,307
1800,16,2,2190,146,307
1800,16,2,2220,148,307
1800,16,2,2205,147,308
1800,16,2,2220,148,318
1800,16,2,2205,147,295
1800,16,2,2190,146,310
1800,16,2,2205,147,307
1800,16,2,2205,147,317
1800,16,2,2205,147,294
1800,16,2,2220,148,307
1800,16,2,2220,148,307
1800,16,2,2205,147,308
1800,16,2,2220,148,309
1800,16,2,2205,147,317
1800,16,2,2205,147,307
1800,16,2,2220,148,304
1800,16,2,2190,146,314
1800,16,2,2235,149,290
1800,16,2,2220,148,321
1800,16,2,2265,151,308
1800,16,2,2175,145,306
1800,16,2,2220,148,295
1800,16,2,2205,147,306
1800,16,2,2235,149,308
1800,16,2,2220,148,307
1800,16,2,2205,147,307
1800,16,2,2205,147,313
1800,16,2,2250,150,301
1800,16,2,2280,152,309
1800,16,2,2280,152,304
1800,16,2,2265,151,322
1800,16,2,2235,149,293
1800,16,2,2220,148,322
1800,16,2,2355,157,809
1800,16,2,2400,160,312
1800,16,2,2280,152,297
1800,16,2,2250,150,308
1800,16,2,2235,149,321
1800,16,2,2250,150,308
1800,16,2,2235,149,306
1800,16,2,2265,151,310
1800,16,2,2340,156,307
1800,16,2,2250,150,305
1800,16,2,2205,147,307
1800,16,2,2220,148,310
1800,16,2,2370,158,304
1800,16,2,2250,150,310
1800,16,2,2280,152,292
1800,16,2,2175,145,306
1800,16,2,2310,154,322
1800,16,2,2220,148,293
1800,16,2,2250,150,320
1800,16,2,2310,154,295
1800,16,2,2235,149,320
1800,16,2,2415,161,296
1800,16,2,2205,147,306
1800,16,2,2370,158,310
1800,16,2,2280,152,303
1800,16,2,2295,153,317
1800,16,2,2265,151,300
1800,16,2,2280,152,308
1800,16,2,2310,154,318
1800,16,2,2295,153,309
1800,16,2,2280,152,305
1800,16,2,2310,154,299
1800,16,2,2460,164,304
1800,16,2,2340,156,314
1800,16,2,2340,156,300
1800,16,2,2280,152,305
1800,16,2,2310,154,308
1800,16,2,2355,157,307
1800,16,2,2325,155,321
1800,16,2,2355,157,308
1800,16,2,2340,156,300
1800,16,2,2280,152,300
1800,16,2,2475,165,321
1800,16,2,2400,160,299
1800,16,2,2370,158,302
1800,16,2,2325,155,309
1800,16,2,2340,156,319
1800,16,2,2325,155,808
1800,16,2,2355,157,319
1800,16,2,2580,172,296
1800,16,2,2610,174,304
1800,16,2,2295,153,309
1800,16,2,2400,160,319
1800,16,2,2280,152,297
1800,16,2,2250,150,307
1800,16,2,2295,153,317
1800,16,2,2295,153,299
1800,16,2,2250,150,302
1800,16,2,2310,154,308
1800,16,2,2265,151,312
1800,16,2,2295,153,313
1800,16,2,2280,152,299
1800,16,2,2280,152,317
1800,16,2,2280,152,317
1800,16,2,2295,153,284
1800,16,2,2280,152,307
1800,16,2,2280,152,307
1800,16,2,2280,152,312
1800,16,2,2280,152,318
1800,16,2,2280,152,294
1800,16,2,2265,151,311
1800,16,2,2295,153,302
1800,16,2,2265,151,308
1800,16,2,2235,149,310
1800,16,2,2295,153,312
1800,16,2,2295,153,301
1800,16,2,2295,153,318
E (118625) wifi:No FTM Measurements received from responder!
W (118625) puara-module: FTM Report received with non-success status: 5
# Timeout after 5001 ms, retrying...
1800,16,2,2265,151,312
1800,16,2,2280,152,309
1800,16,2,2295,153,308
1800,16,2,2280,152,305
1800,16,2,2295,153,309
1800,16,2,2295,153,306
1800,16,2,2295,153,318
1800,16,2,2295,153,295
1800,16,2,2310,154,320
1800,16,2,2265,151,307
1800,16,2,2295,153,310
1800,16,2,2310,154,815
1800,16,2,2325,155,313
1800,16,2,2265,151,303
1800,16,2,2295,153,303
1800,16,2,2325,155,306
1800,16,2,2310,154,300
1800,16,2,2280,152,320
1800,16,2,2280,152,294
1800,16,2,2280,152,307
1800,16,2,2265,151,309
1800,16,2,2280,152,305
1800,16,2,2280,152,321
1800,16,2,2310,154,806
1800,16,2,2310,154,307
1800,16,2,2265,151,308
1800,16,2,2280,152,306
1800,16,2,2295,153,315
1800,16,2,2295,153,301
1800,16,2,2280,152,319
1800,16,2,2280,152,298
1800,16,2,2295,153,308
1800,16,2,2280,152,306
1800,16,2,2295,153,307
1800,16,2,2280,152,306
1800,16,2,2280,152,308
1800,16,2,2295,153,304
1800,16,2,2280,152,308
1800,16,2,2280,152,306
1800,16,2,2310,154,308
1800,16,2,2280,152,317
1800,16,2,2295,153,299
1800,16,2,2280,152,305
1800,16,2,2310,154,321
1800,16,2,2280,152,308
1800,16,2,2280,152,294
1800,16,2,2265,151,320
1800,16,2,2280,152,806
1800,16,2,2280,152,318
1800,16,2,2280,152,298
1800,16,2,2265,151,306
1800,16,2,2280,152,306
1800,16,2,2280,152,307
1800,16,2,2280,152,310
1800,16,2,2280,152,305
1800,16,2,2310,154,311
1800,16,2,2280,152,317
1800,16,2,2280,152,300
1800,16,2,2280,152,301
1800,16,2,2295,153,306
1800,16,2,2295,153,309
