physical_distance_cm,frame_count,burst_period,estimated_distance_cm,rtt_ns,elapsed_ms
# Starting automated sampling: 13 configs x 1000 samples = 13000 total
# Config 1/13: frame_count=16, burst_period=2
600,16,2,825,55,251
600,16,2,840,56,307
600,16,2,825,55,317
600,16,2,825,55,313
600,16,2,825,55,806
600,16,2,810,54,305
600,16,2,810,54,307
600,16,2,825,55,311
600,16,2,825,55,314
600,16,2,825,55,307
600,16,2,825,55,298
600,16,2,810,54,316
600,16,2,795,53,809
600,16,2,825,55,306
600,16,2,810,54,312
600,16,2,810,54,321
600,16,2,825,55,298
600,16,2,810,54,309
600,16,2,810,54,297
600,16,2,810,54,318
600,16,2,795,53,296
600,16,2,795,53,307
600,16,2,810,54,307
600,16,2,810,54,319
600,16,2,840,56,309
600,16,2,840,56,295
600,16,2,810,54,306
600,16,2,840,56,308
600,16,2,825,55,306
600,16,2,840,56,311
600,16,2,825,55,322
600,16,2,810,54,289
600,16,2,810,54,308
600,16,2,810,54,307
600,16,2,795,53,309
600,16,2,810,54,304
600,16,2,825,55,320
600,16,2,855,57,825
600,16,2,825,55,301
600,16,2,825,55,809
600,16,2,795,53,322
600,16,2,825,55,805
600,16,2,855,57,305
600,16,2,855,57,321
600,16,2,825,55,822
600,16,2,840,56,814
600,16,2,825,55,816
600,16,2,825,55,311
600,16,2,840,56,306
600,16,2,840,56,308
600,16,2,855,57,834
600,16,2,825,55,806
600,16,2,870,58,819
600,16,2,840,56,808
600,16,2,840,56,317
600,16,2,855,57,833
600,16,2,825,55,807
600,16,2,825,55,812
600,16,2,825,55,318
600,16,2,840,56,298
600,16,2,840,56,304
600,16,2,855,57,311
600,16,2,840,56,310
600,16,2,810,54,820
600,16,2,795,53,299
600,16,2,825,55,308
600,16,2,810,54,315
600,16,2,840,56,821
600,16,2,840,56,819
600,16,2,825,55,818
600,16,2,840,56,842
600,16,2,840,56,787
600,16,2,840,56,315
600,16,2,840,56,822
600,16,2,840,56,817
600,16,2,855,57,308
600,16,2,855,57,822
600,16,2,840,56,847
600,16,2,855,57,939
600,16,2,855,57,782
600,16,2,840,56,1045
600,16,2,840,56,895
600,16,2,855,57,813
600,16,2,840,56,810
600,16,2,840,56,307
600,16,2,840,56,317
600,16,2,840,56,809
600,16,2,840,56,308
600,16,2,840,56,315
600,16,2,855,57,318
600,16,2,855,57,290
600,16,2,870,58,315
600,16,2,855,57,302
600,16,2,855,57,302
600,16,2,840,56,308
600,16,2,855,57,309
600,16,2,870,58,308
600,16,2,855,57,303
600,16,2,825,55,311
600,16,2,855,57,307
600,16,2,840,56,315
600,16,2,840,56,315
600,16,2,840,56,817
600,16,2,840,56,803
600,16,2,825,55,308
600,16,2,840,56,311
600,16,2,825,55,313
600,16,2,840,56,844
600,16,2,840,56,273
600,16,2,840,56,320
600,16,2,840,56,809
600,16,2,840,56,316
600,16,2,840,56,313
600,16,2,855,57,289
600,16,2,840,56,309
600,16,2,855,57,304
600,16,2,840,56,310
600,16,2,855,57,317
600,16,2,825,55,295
600,16,2,870,58,309
600,16,2,840,56,307
600,16,2,855,57,306
600,16,2,855,57,308
600,16,2,840,56,307
600,16,2,840,56,317
600,16,2,825,55,306
600,16,2,840,56,299
600,16,2,840,56,317
600,16,2,825,55,824
600,16,2,870,58,303
600,16,2,825,55,829
600,16,2,840,56,799
600,16,2,840,56,317
600,16,2,840,56,815
600,16,2,840,56,304
600,16,2,840,56,305
600,16,2,840,56,307
600,16,2,840,56,308
600,16,2,855,57,316
600,16,2,855,57,297
600,16,2,840,56,311
600,16,2,840,56,314
600,16,2,840,56,810
600,16,2,840,56,308
600,16,2,840,56,308
600,16,2,825,55,305
600,16,2,840,56,310
600,16,2,840,56,304
600,16,2,840,56,311
600,16,2,855,57,313
600,16,2,855,57,313
600,16,2,840,56,293
600,16,2,855,57,311
600,16,2,825,55,322
600,16,2,855,57,801
600,16,2,840,56,305
600,16,2,840,56,314
600,16,2,855,57,315
600,16,2,840,56,823
600,16,2,855,57,289
600,16,2,855,57,309
600,16,2,840,56,306
600,16,2,855,57,319
600,16,2,840,56,822
600,16,2,825,55,823
600,16,2,840,56,289
600,16,2,825,55,307
600,16,2,840,56,317
600,16,2,825,55,923
600,16,2,825,55,818
600,16,2,825,55,299
600,16,2,810,54,316
600,16,2,810,54,312
600,16,2,795,53,807
600,16,2,840,56,315
600,16,2,855,57,433
600,16,2,840,56,784
600,16,2,840,56,312
600,16,2,840,56,314
600,16,2,840,56,307
600,16,2,855,57,819
600,16,2,825,55,819
600,16,2,825,55,814
600,16,2,825,55,313
600,16,2,840,56,807
600,16,2,840,56,319
600,16,2,840,56,412
600,16,2,825,55,816
600,16,2,825,55,861
600,16,2,855,57,886
600,16,2,825,55,918
600,16,2,855,57,808
600,16,2,885,59,308
600,16,2,855,57,308
600,16,2,900,60,315
600,16,2,870,58,308
600,16,2,840,56,810
600,16,2,840,56,304
600,16,2,840,56,308
600,16,2,825,55,307
600,16,2,825,55,308
600,16,2,840,56,307
600,16,2,840,56,308
600,16,2,840,56,307
600,16,2,825,55,318
600,16,2,825,55,297
600,16,2,825,55,310
600,16,2,825,55,316
600,16,2,810,54,298
600,16,2,825,55,305
600,16,2,810,54,316
600,16,2,825,55,311
600,16,2,825,55,816
600,16,2,810,54,819
600,16,2,825,55,312
600,16,2,825,55,295
600,16,2,825,55,310
600,16,2,825,55,308
600,16,2,825,55,308
600,16,2,825,55,301
600,16,2,810,54,309
600,16,2,825,55,306
600,16,2,825,55,316
600,16,2,825,55,300
600,16,2,810,54,314
600,16,2,825,55,300
600,16,2,810,54,308
600,16,2,810,54,306
600,16,2,825,55,305
600,16,2,825,55,309
600,16,2,825,55,306
600,16,2,825,55,321
600,16,2,825,55,805
600,16,2,825,55,309
600,16,2,825,55,306
600,16,2,825,55,308
600,16,2,825,55,307
600,16,2,810,54,304
600,16,2,810,54,309
600,16,2,810,54,311
600,16,2,825,55,305
600,16,2,825,55,307
600,16,2,825,55,308
600,16,2,810,54,306
600,16,2,810,54,306
600,16,2,795,53,315
600,16,2,810,54,300
600,16,2,810,54,309
600,16,2,810,54,307
600,16,2,810,54,316
600,16,2,825,55,299
600,16,2,825,55,305
600,16,2,825,55,308
600,16,2,825,55,315
600,16,2,825,55,301
600,16,2,840,56,305
600,16,2,795,53,308
600,16,2,810,54,307
600,16,2,810,54,316
600,16,2,810,54,313
600,16,2,855,57,814
600,16,2,825,55,819
600,16,2,810,54,307
600,16,2,825,55,298
600,16,2,810,54,306
