physical_distance_cm,frame_count,burst_period,estimated_distance_cm,rtt_ns,rssi_dbm,elapsed_ms
# Starting automated sampling: 5 configs x 1000 samples = 5000 total
# Config 1/5: frame_count=16, burst_period=2
600,16,2,1830,122,-57,330
600,16,2,1875,125,-57,319
600,16,2,1845,123,-55,800
600,16,2,1740,116,-56,316
600,16,2,1920,128,-58,827
600,16,2,1440,96,-57,283
600,16,2,1605,107,-57,311
600,16,2,1680,112,-54,313
600,16,2,1785,119,-56,298
600,16,2,1635,109,-53,312
600,16,2,2115,141,-56,317
600,16,2,1740,116,-56,817
600,16,2,1755,117,-54,309
600,16,2,1965,131,-56,816
600,16,2,2040,136,-56,303
600,16,2,1920,128,-55,304
600,16,2,1935,129,-56,318
600,16,2,2010,134,-55,300
600,16,2,2085,139,-57,305
600,16,2,1995,133,-56,314
600,16,2,1995,133,-54,301
600,16,2,1995,133,-54,315
600,16,2,1935,129,-55,813
600,16,2,1965,131,-56,311
600,16,2,2130,142,-57,303
600,16,2,2040,136,-57,305
600,16,2,1965,131,-57,317
600,16,2,1965,131,-56,308
600,16,2,1890,126,-55,811
600,16,2,1920,128,-56,315
600,16,2,1920,128,-57,808
600,16,2,1845,123,-57,320
600,16,2,1830,122,-56,304
600,16,2,1845,123,-56,301
600,16,2,1860,124,-56,316
600,16,2,1905,127,-57,310
600,16,2,1950,130,-56,815
600,16,2,1890,126,-56,853
600,16,2,1920,128,-57,277
600,16,2,1935,129,-56,821
600,16,2,1950,130,-56,813
600,16,2,2055,137,-56,307
600,16,2,1980,132,-56,305
600,16,2,1935,129,-56,308
600,16,2,1995,133,-56,311
600,16,2,2010,134,-57,299
600,16,2,2055,137,-56,311
600,16,2,2085,139,-55,323
600,16,2,2010,134,-54,800
600,16,2,1950,130,-54,311
600,16,2,1965,131,-54,302
600,16,2,1980,132,-54,312
600,16,2,1905,127,-54,308
600,16,2,1830,122,-54,317
600,16,2,1770,118,-53,293
600,16,2,1860,124,-53,314
600,16,2,1890,126,-54,305
600,16,2,1875,125,-54,314
600,16,2,1860,124,-54,816
600,16,2,1770,118,-54,810
600,16,2,1770,118,-54,312
600,16,2,1830,122,-54,303
600,16,2,1830,122,-55,307
600,16,2,1815,121,-54,315
600,16,2,1770,118,-54,820
600,16,2,1830,122,-55,810
600,16,2,1860,124,-55,303
600,16,2,1890,126,-55,328
600,16,2,1905,127,-54,803
600,16,2,1905,127,-55,306
600,16,2,1905,127,-54,308
600,16,2,1935,129,-54,333
600,16,2,1935,129,-54,292
600,16,2,1920,128,-54,320
600,16,2,1890,126,-54,295
600,16,2,1875,125,-54,290
600,16,2,1890,126,-53,310
600,16,2,1860,124,-54,316
600,16,2,1845,123,-54,315
600,16,2,1830,122,-54,290
600,16,2,1860,124,-54,305
600,16,2,1890,126,-54,319
600,16,2,1950,130,-54,306
600,16,2,1935,129,-54,303
600,16,2,1905,127,-55,302
600,16,2,1935,129,-55,319
600,16,2,1950,130,-54,822
600,16,2,1965,131,-54,817
600,16,2,1995,133,-54,810
600,16,2,2025,135,-54,309
600,16,2,2040,136,-54,312
600,16,2,2055,137,-54,316
600,16,2,2040,136,-54,867
600,16,2,2040,136,-54,246
600,16,2,2040,136,-54,316
600,16,2,2055,137,-54,299
600,16,2,2055,137,-54,303
600,16,2,2025,135,-54,316
600,16,2,2040,136,-54,314
600,16,2,2025,135,-55,299
600,16,2,2025,135,-55,330
600,16,2,2055,137,-54,286
600,16,2,2040,136,-54,312
600,16,2,2040,136,-54,294
600,16,2,2010,134,-54,311
600,16,2,1995,133,-54,315
600,16,2,2055,137,-54,818
600,16,2,2055,137,-54,813
600,16,2,2025,135,-55,315
600,16,2,1950,130,-55,312
600,16,2,1965,131,-54,306
600,16,2,2010,134,-55,808
600,16,2,1950,130,-54,319
600,16,2,1935,129,-54,317
600,16,2,2025,135,-56,803
600,16,2,2025,135,-54,823
600,16,2,1980,132,-55,814
600,16,2,2100,140,-55,308
600,16,2,1860,124,-54,310
600,16,2,1815,121,-55,295
600,16,2,2025,135,-55,317
600,16,2,2055,137,-55,823
600,16,2,2130,142,-55,302
600,16,2,2055,137,-54,307
600,16,2,1950,130,-56,311
600,16,2,1875,125,-55,303
600,16,2,1860,124,-55,307
600,16,2,1905,127,-57,313
600,16,2,1935,129,-57,308
600,16,2,2175,145,-58,301
600,16,2,2145,143,-57,313
600,16,2,2250,150,-59,304
600,16,2,2145,143,-58,310
600,16,2,2190,146,-58,293
600,16,2,2235,149,-58,305
600,16,2,2220,148,-58,321
600,16,2,2190,146,-58,304
600,16,2,2115,141,-58,308
600,16,2,2130,142,-56,309
600,16,2,2085,139,-56,838
600,16,2,2085,139,-56,793
600,16,2,2205,147,-57,312
600,16,2,2190,146,-57,303
600,16,2,2205,147,-57,312
600,16,2,2190,146,-57,309
600,16,2,2175,145,-57,814
600,16,2,2220,148,-57,306
600,16,2,2175,145,-57,311
600,16,2,2145,143,-56,321
600,16,2,2190,146,-56,806
600,16,2,2130,142,-57,302
600,16,2,2085,139,-56,337
600,16,2,2025,135,-57,790
600,16,2,2070,138,-57,329
600,16,2,2160,144,-56,283
600,16,2,2205,147,-57,317
600,16,2,2205,147,-57,829
600,16,2,2175,145,-57,298
600,16,2,2160,144,-57,821
600,16,2,2190,146,-57,829
600,16,2,2160,144,-57,295
600,16,2,2190,146,-57,294
600,16,2,2205,147,-57,331
600,16,2,2190,146,-57,310
600,16,2,2085,139,-57,811
600,16,2,2040,136,-57,817
600,16,2,2070,138,-57,306
600,16,2,2130,142,-57,818
600,16,2,1815,121,-55,823
600,16,2,2070,138,-57,815
600,16,2,2025,135,-57,816
600,16,2,1800,120,-56,313
600,16,2,1920,128,-55,814
600,16,2,2115,141,-56,307
600,16,2,2100,140,-56,299
600,16,2,2055,137,-56,311
600,16,2,2115,141,-55,318
600,16,2,2235,149,-56,303
600,16,2,1950,130,-57,854
600,16,2,1725,115,-56,773
600,16,2,1830,122,-56,308
600,16,2,1875,125,-57,316
600,16,2,1815,121,-57,309
600,16,2,2175,145,-56,823
600,16,2,2160,144,-55,292
600,16,2,2100,140,-57,318
600,16,2,1905,127,-55,298
600,16,2,1815,121,-55,319
600,16,2,2010,134,-56,819
600,16,2,1965,131,-57,303
600,16,2,1695,113,-54,318
600,16,2,1755,117,-56,302
600,16,2,2055,137,-57,824
600,16,2,2145,143,-56,840
600,16,2,2055,137,-56,788
600,16,2,2070,138,-57,309
600,16,2,2160,144,-57,308
600,16,2,2190,146,-56,304
600,16,2,2235,149,-57,324
600,16,2,2220,148,-56,293
600,16,2,2250,150,-57,822
600,16,2,2220,148,-57,299
600,16,2,2190,146,-57,313
600,16,2,2190,146,-57,308
600,16,2,2205,147,-57,818
600,16,2,2235,149,-56,303
600,16,2,2325,155,-58,302
600,16,2,2265,151,-58,311
600,16,2,2115,141,-57,316
600,16,2,1860,124,-56,820
600,16,2,2010,134,-55,816
600,16,2,2010,134,-56,314
600,16,2,1890,126,-55,293
600,16,2,1905,127,-55,303
600,16,2,1920,128,-55,308
600,16,2,2025,135,-56,310
600,16,2,2130,142,-57,315
600,16,2,2010,134,-57,823
600,16,2,2040,136,-57,824
600,16,2,1980,132,-57,316
600,16,2,1980,132,-57,297
600,16,2,2160,144,-57,809
600,16,2,2190,146,-57,308
600,16,2,2265,151,-57,318
600,16,2,2160,144,-57,815
600,16,2,2205,147,-57,292
600,16,2,2100,140,-56,311
600,16,2,2010,134,-57,310
600,16,2,1920,128,-56,304
600,16,2,1920,128,-56,312
600,16,2,1905,127,-55,313
600,16,2,2010,134,-55,814
600,16,2,2100,140,-57,309
600,16,2,2085,139,-56,821
600,16,2,1980,132,-56,316
600,16,2,2085,139,-56,308
600,16,2,1995,133,-56,804
600,16,2,1980,132,-55,312
600,16,2,1980,132,-56,318
600,16,2,2010,134,-57,288
600,16,2,2070,138,-57,315
600,16,2,2055,137,-57,808
600,16,2,2010,134,-57,321
600,16,2,2085,139,-56,817
600,16,2,2040,136,-57,319
600,16,2,1935,129,-57,814
600,16,2,2040,136,-57,1316
600,16,2,2010,134,-57,318
600,16,2,2145,143,-58,834
600,16,2,2115,141,-57,276
600,16,2,2100,140,-57,313
600,16,2,2085,139,-57,302
600,16,2,2100,140,-57,318
600,16,2,2130,142,-57,309
600,16,2,2160,144,-57,423
600,16,2,2220,148,-57,824
600,16,2,2220,148,-58,807
600,16,2,2235,149,-58,814
600,16,2,2070,138,-56,843
600,16,2,2085,139,-56,271
600,16,2,2280,152,-56,342
600,16,2,2175,145,-58,811
600,16,2,1995,133,-56,817
600,16,2,1905,127,-57,828
600,16,2,2085,139,-57,800
E (127180) wifi:No FTM Measurements received from responder!
W (127180) puara-module: FTM Report received with non-success status: 5
# Timeout after 5001 ms, retrying...
600,16,2,2040,136,-57,314
600,16,2,2055,137,-57,316
600,16,2,2085,139,-57,806
600,16,2,2055,137,-56,311
600,16,2,1965,131,-56,317
600,16,2,1935,129,-56,306
600,16,2,1875,125,-56,406
600,16,2,1920,128,-56,307
600,16,2,1935,129,-56,300
600,16,2,1935,129,-55,304
600,16,2,1995,133,-56,308
600,16,2,2040,136,-57,310
600,16,2,2070,138,-57,302
600,16,2,2205,147,-58,309
600,16,2,2130,142,-57,309
600,16,2,2025,135,-55,305
600,16,2,2085,139,-56,309
600,16,2,2055,137,-55,315
600,16,2,2025,135,-56,308
600,16,2,1965,131,-55,322
600,16,2,1995,133,-54,812
600,16,2,2160,144,-56,804
600,16,2,2130,142,-55,311
600,16,2,2070,138,-54,315
600,16,2,2130,142,-56,811
600,16,2,2085,139,-55,315
600,16,2,1980,132,-54,815
600,16,2,1995,133,-54,321
600,16,2,1995,133,-54,552
600,16,2,2100,140,-54,769
600,16,2,2070,138,-55,305
600,16,2,2145,143,-55,302
600,16,2,2115,141,-54,315
600,16,2,2070,138,-56,300
600,16,2,2085,139,-55,305
600,16,2,2085,139,-55,319
600,16,2,2250,150,-57,806
600,16,2,2130,142,-55,317
600,16,2,2070,138,-54,299
600,16,2,2085,139,-56,303
600,16,2,2085,139,-54,309
600,16,2,2055,137,-55,310
600,16,2,2055,137,-54,305
600,16,2,2055,137,-55,318
600,16,2,2010,134,-55,810
600,16,2,2070,138,-54,305
600,16,2,1995,133,-55,319
600,16,2,1920,128,-54,819
600,16,2,2070,138,-56,814
600,16,2,1995,133,-55,314
600,16,2,2010,134,-55,298
600,16,2,2025,135,-55,307
600,16,2,2025,135,-55,311
600,16,2,2010,134,-55,297
600,16,2,2025,135,-55,322
600,16,2,2010,134,-56,443
600,16,2,1995,133,-54,269
600,16,2,1995,133,-55,314
600,16,2,1980,132,-55,303
600,16,2,1980,132,-54,297
600,16,2,1980,132,-54,317
600,16,2,1995,133,-54,309
600,16,2,2025,135,-54,306
600,16,2,2115,141,-55,301
600,16,2,2130,142,-57,313
600,16,2,2205,147,-57,312
600,16,2,2175,145,-57,305
600,16,2,1950,130,-54,835
600,16,2,2115,141,-57,277
600,16,2,2055,137,-55,321
600,16,2,2115,141,-54,824
600,16,2,2175,145,-55,891
600,16,2,2100,140,-54,332
600,16,2,2115,141,-54,310
600,16,2,2085,139,-54,307
600,16,2,2100,140,-54,828
