physical_distance_cm,frame_count,burst_period,estimated_distance_cm,rtt_ns,rssi_dbm,elapsed_ms
# Starting automated sampling: 5 configs x 1000 samples = 5000 total
# Config 1/5: frame_count=16, burst_period=2
2400,16,2,3480,232,-61,306
2400,16,2,3465,231,-61,307
2400,16,2,3465,231,-62,308
2400,16,2,3450,230,-60,307
2400,16,2,3435,229,-61,820
2400,16,2,3450,230,-61,814
2400,16,2,3435,229,-62,322
2400,16,2,3465,231,-62,298
2400,16,2,3465,231,-62,819
2400,16,2,3510,234,-62,813
2400,16,2,3495,233,-62,304
2400,16,2,3465,231,-62,316
2400,16,2,3570,238,-62,306
2400,16,2,3495,233,-61,315
E (13540) wifi:No FTM Measurements received from responder!
W (13541) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
2400,16,2,3480,232,-61,343
2400,16,2,3510,234,-62,311
2400,16,2,3450,230,-61,308
2400,16,2,3375,225,-62,308
2400,16,2,3420,228,-62,815
2400,16,2,3405,227,-61,304
E (17425) wifi:No FTM Measurements received from responder!
W (17425) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
2400,16,2,3450,230,-61,253
2400,16,2,3450,230,-61,312
2400,16,2,3450,230,-61,831
2400,16,2,3405,227,-61,296
2400,16,2,3420,228,-61,819
2400,16,2,3405,227,-62,307
2400,16,2,3390,226,-62,300
2400,16,2,3450,230,-62,301
2400,16,2,3465,231,-61,323
2400,16,2,3360,224,-61,817
2400,16,2,3390,226,-61,307
2400,16,2,3480,232,-61,308
2400,16,2,3630,242,-61,820
2400,16,2,3465,231,-61,822
2400,16,2,3390,226,-61,303
2400,16,2,3480,232,-61,814
2400,16,2,3585,239,-61,316
2400,16,2,3570,238,-61,289
2400,16,2,3555,237,-60,324
2400,16,2,3600,240,-60,298
2400,16,2,3585,239,-61,309
2400,16,2,3540,236,-61,315
2400,16,2,3480,232,-61,304
2400,16,2,3525,235,-61,819
2400,16,2,3525,235,-62,313
2400,16,2,3555,237,-61,305
E (31453) wifi:No FTM Measurements received from responder!
W (31454) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
2400,16,2,3480,232,-62,250
2400,16,2,3480,232,-62,317
2400,16,2,3510,234,-61,810
2400,16,2,3450,230,-62,302
2400,16,2,3465,231,-62,307
2400,16,2,3495,233,-62,311
2400,16,2,3435,229,-61,305
2400,16,2,3465,231,-61,307
2400,16,2,3420,228,-62,310
2400,16,2,3495,233,-61,822
2400,16,2,3465,231,-60,309
2400,16,2,3450,230,-62,296
2400,16,2,3495,233,-61,309
2400,16,2,3405,227,-62,311
2400,16,2,3420,228,-61,815
2400,16,2,3375,225,-62,314
2400,16,2,3405,227,-61,298
2400,16,2,3525,235,-62,314
2400,16,2,3480,232,-61,308
2400,16,2,3420,228,-61,307
2400,16,2,3465,231,-61,307
2400,16,2,3465,231,-62,308
2400,16,2,3465,231,-62,302
2400,16,2,3510,234,-62,312
2400,16,2,3465,231,-61,313
2400,16,2,3540,236,-63,301
2400,16,2,3645,243,-62,307
2400,16,2,3525,235,-60,308
2400,16,2,3525,235,-61,309
2400,16,2,3525,235,-62,304
E (43638) wifi:No FTM Measurements received from responder!
W (43638) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
2400,16,2,3435,229,-60,252
2400,16,2,3390,226,-61,309
2400,16,2,3450,230,-62,294
2400,16,2,3510,234,-62,313
2400,16,2,3405,227,-62,306
2400,16,2,3420,228,-61,309
2400,16,2,3405,227,-61,313
2400,16,2,3555,237,-61,313
2400,16,2,3540,236,-61,306
2400,16,2,3525,235,-62,304
2400,16,2,3435,229,-61,308
2400,16,2,3420,228,-61,305
2400,16,2,3375,225,-62,308
2400,16,2,3255,217,-63,306
2400,16,2,3450,230,-61,301
2400,16,2,3405,227,-60,306
2400,16,2,3540,236,-60,309
2400,16,2,3540,236,-61,305
E (51115) wifi:No FTM Measurements received from responder!
W (51115) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
2400,16,2,3525,235,-61,256
2400,16,2,3600,240,-61,299
2400,16,2,3585,239,-62,321
2400,16,2,3540,236,-60,810
2400,16,2,3585,239,-61,315
2400,16,2,3660,244,-62,309
2400,16,2,3615,241,-62,305
2400,16,2,3660,244,-62,302
2400,16,2,3630,242,-62,314
2400,16,2,3735,249,-62,299
2400,16,2,3660,244,-62,309
2400,16,2,3615,241,-61,313
2400,16,2,3645,243,-62,303
2400,16,2,3660,244,-62,310
2400,16,2,3705,247,-61,309
2400,16,2,3615,241,-61,307
2400,16,2,3630,242,-61,300
2400,16,2,3615,241,-61,306
2400,16,2,3690,246,-61,315
2400,16,2,3675,245,-62,295
2400,16,2,3705,247,-62,320
2400,16,2,3585,239,-60,308
2400,16,2,3570,238,-60,298
2400,16,2,3645,243,-62,314
2400,16,2,3600,240,-61,301
2400,16,2,3585,239,-62,315
2400,16,2,3615,241,-61,306
2400,16,2,3630,242,-62,308
2400,16,2,3615,241,-61,308
2400,16,2,3645,243,-63,307
2400,16,2,3555,237,-61,810
2400,16,2,3510,234,-60,303
2400,16,2,3585,239,-61,312
2400,16,2,3570,238,-60,315
2400,16,2,3600,240,-63,308
2400,16,2,3555,237,-62,303
2400,16,2,3540,236,-62,299
2400,16,2,3645,243,-61,308
2400,16,2,3570,238,-62,310
2400,16,2,3615,241,-61,315
2400,16,2,3630,242,-62,298
2400,16,2,3570,238,-62,312
2400,16,2,3540,236,-60,302
2400,16,2,3630,242,-61,318
2400,16,2,3630,242,-62,296
2400,16,2,3600,240,-61,317
2400,16,2,3555,237,-61,299
2400,16,2,3600,240,-61,317
2400,16,2,3615,241,-61,300
2400,16,2,3600,240,-62,310
2400,16,2,3585,239,-62,312
2400,16,2,3600,240,-60,302
2400,16,2,3630,242,-62,309
2400,16,2,3615,241,-60,306
2400,16,2,3570,238,-62,311
2400,16,2,3630,242,-61,302
2400,16,2,3660,244,-60,306
2400,16,2,3615,241,-60,313
2400,16,2,3675,245,-62,302
2400,16,2,3645,243,-61,314
2400,16,2,3630,242,-62,307
2400,16,2,3630,242,-62,305
2400,16,2,3660,244,-61,297
2400,16,2,3615,241,-61,318
2400,16,2,3525,235,-61,820
2400,16,2,3525,235,-63,307
2400,16,2,3660,244,-61,301
2400,16,2,3720,248,-62,313
2400,16,2,3660,244,-62,302
2400,16,2,3690,246,-61,314
2400,16,2,3750,250,-62,294
2400,16,2,3690,246,-61,319
2400,16,2,3675,245,-60,307
2400,16,2,3600,240,-61,297
2400,16,2,3525,235,-60,318
2400,16,2,3525,235,-61,306
2400,16,2,3525,235,-62,307
2400,16,2,3555,237,-61,307
2400,16,2,3495,233,-61,301
2400,16,2,3525,235,-61,314
2400,16,2,3600,240,-63,310
2400,16,2,3540,236,-62,294
2400,16,2,3450,230,-62,329
2400,16,2,3465,231,-62,281
2400,16,2,3495,233,-62,314
2400,16,2,3450,230,-61,315
2400,16,2,3540,236,-62,820
2400,16,2,3495,233,-63,296
2400,16,2,3525,235,-61,313
2400,16,2,3450,230,-61,305
2400,16,2,3495,233,-63,314
2400,16,2,3495,233,-61,302
2400,16,2,3420,228,-63,313
2400,16,2,3540,236,-62,302
2400,16,2,3645,243,-61,315
2400,16,2,3540,236,-62,298
2400,16,2,3525,235,-61,314
2400,16,2,3480,232,-62,310
2400,16,2,3480,232,-62,296
2400,16,2,3555,237,-62,307
2400,16,2,3510,234,-61,317
2400,16,2,3525,235,-61,299
2400,16,2,3540,236,-61,314
2400,16,2,3555,237,-61,306
2400,16,2,3525,235,-62,302
2400,16,2,3510,234,-62,307
2400,16,2,3495,233,-62,314
2400,16,2,3600,240,-62,819
2400,16,2,3630,242,-62,310
2400,16,2,3645,243,-62,298
2400,16,2,3660,244,-62,307
2400,16,2,3660,244,-62,308
2400,16,2,3675,245,-61,306
2400,16,2,3720,248,-62,314
2400,16,2,3645,243,-64,818
2400,16,2,3660,244,-61,301
2400,16,2,3705,247,-61,318
2400,16,2,3675,245,-62,305
2400,16,2,3690,246,-62,306
2400,16,2,3705,247,-63,300
2400,16,2,3660,244,-61,307
2400,16,2,3690,246,-62,316
2400,16,2,3690,246,-62,307
2400,16,2,3660,244,-62,306
2400,16,2,3690,246,-62,303
2400,16,2,3735,249,-63,304
2400,16,2,3750,250,-62,314
2400,16,2,3780,252,-62,305
2400,16,2,3750,250,-61,306
2400,16,2,3705,247,-62,307
2400,16,2,3690,246,-62,311
2400,16,2,3720,248,-62,300
2400,16,2,3720,248,-62,315
2400,16,2,3660,244,-63,307
2400,16,2,3675,245,-63,307
2400,16,2,3690,246,-62,307
2400,16,2,3675,245,-62,819
2400,16,2,3630,242,-62,311
2400,16,2,3660,244,-61,307
2400,16,2,3660,244,-62,304
2400,16,2,3630,242,-62,309
2400,16,2,3630,242,-61,306
2400,16,2,3540,236,-62,820
2400,16,2,3705,247,-61,820
2400,16,2,3660,244,-62,820
2400,16,2,3660,244,-61,307
2400,16,2,3675,245,-62,306
2400,16,2,3645,243,-61,818
2400,16,2,3690,246,-60,820
2400,16,2,3735,249,-61,292
2400,16,2,3645,243,-62,314
2400,16,2,3690,246,-61,310
2400,16,2,3705,247,-61,305
2400,16,2,3690,246,-60,308
2400,16,2,3660,244,-62,302
2400,16,2,3630,242,-61,315
2400,16,2,3615,241,-62,311
2400,16,2,3690,246,-61,302
2400,16,2,3570,238,-61,306
2400,16,2,3540,236,-61,307
2400,16,2,3660,244,-60,314
2400,16,2,3585,239,-60,306
2400,16,2,3495,233,-61,308
2400,16,2,3615,241,-62,307
2400,16,2,3585,239,-61,308
2400,16,2,3615,241,-61,306
2400,16,2,3660,244,-61,299
2400,16,2,3705,247,-62,317
2400,16,2,3585,239,-61,307
2400,16,2,3630,242,-61,293
2400,16,2,3660,244,-62,322
2400,16,2,3540,236,-60,300
2400,16,2,3525,235,-61,304
2400,16,2,3540,236,-62,316
2400,16,2,3570,238,-62,309
2400,16,2,3555,237,-61,307
2400,16,2,3600,240,-61,300
2400,16,2,3570,238,-62,306
2400,16,2,3540,236,-62,313
2400,16,2,3585,239,-61,300
2400,16,2,3585,239,-61,317
2400,16,2,3645,243,-62,302
2400,16,2,3600,240,-62,306
2400,16,2,3600,240,-60,316
2400,16,2,3600,240,-61,293
2400,16,2,3585,239,-61,311
2400,16,2,3645,243,-62,305
2400,16,2,3615,241,-62,316
2400,16,2,3570,238,-62,307
2400,16,2,3555,237,-61,308
2400,16,2,3585,239,-63,298
2400,16,2,3615,241,-62,313
2400,16,2,3585,239,-61,306
2400,16,2,3615,241,-62,305
2400,16,2,3630,242,-62,315
2400,16,2,3690,246,-62,306
2400,16,2,3705,247,-62,297
2400,16,2,3630,242,-63,306
2400,16,2,3585,239,-61,318
2400,16,2,3450,230,-62,298
2400,16,2,3405,227,-62,318
2400,16,2,3510,234,-62,299
2400,16,2,3450,230,-61,308
2400,16,2,3495,233,-60,313
2400,16,2,3555,237,-62,308
2400,16,2,3540,236,-62,300
2400,16,2,3495,233,-61,307
2400,16,2,3465,231,-60,308
2400,16,2,3555,237,-61,314
2400,16,2,3525,235,-62,814
2400,16,2,3555,237,-61,308
2400,16,2,3555,237,-62,310
