physical_distance_cm,frame_count,burst_period,estimated_distance_cm,rtt_ns,rssi_dbm,elapsed_ms
# Starting automated sampling: 5 configs x 1000 samples = 5000 total
# Config 1/5: frame_count=16, burst_period=2
1800,16,2,2475,165,-54,289
1800,16,2,2520,168,-56,815
1800,16,2,2505,167,-56,306
1800,16,2,2520,168,-57,307
1800,16,2,2520,168,-56,822
1800,16,2,2490,166,-56,329
1800,16,2,2505,167,-56,283
1800,16,2,2535,169,-56,821
1800,16,2,2535,169,-56,305
1800,16,2,2535,169,-55,831
1800,16,2,2490,166,-54,294
1800,16,2,2475,165,-54,309
1800,16,2,2505,167,-56,828
1800,16,2,2370,158,-54,813
1800,16,2,2400,160,-54,304
1800,16,2,2355,157,-53,307
1800,16,2,2400,160,-54,307
1800,16,2,2415,161,-54,307
1800,16,2,2415,161,-55,308
1800,16,2,2370,158,-54,308
1800,16,2,2460,164,-55,308
1800,16,2,2400,160,-54,817
1800,16,2,2415,161,-53,308
1800,16,2,2385,159,-54,307
1800,16,2,2490,166,-55,819
1800,16,2,2415,161,-54,308
1800,16,2,2385,159,-53,307
1800,16,2,2400,160,-54,842
1800,16,2,2385,159,-55,284
1800,16,2,2355,157,-54,305
1800,16,2,2340,156,-54,310
1800,16,2,2340,156,-54,304
1800,16,2,2340,156,-55,310
1800,16,2,2340,156,-54,307
1800,16,2,2385,159,-54,820
1800,16,2,2385,159,-54,307
1800,16,2,2400,160,-55,310
1800,16,2,2385,159,-54,302
1800,16,2,2355,157,-54,309
1800,16,2,2370,158,-54,307
1800,16,2,2340,156,-56,817
1800,16,2,2385,159,-56,310
1800,16,2,2400,160,-55,308
1800,16,2,2385,159,-54,308
1800,16,2,2385,159,-54,302
1800,16,2,2385,159,-54,310
1800,16,2,2385,159,-53,819
1800,16,2,2385,159,-54,820
1800,16,2,2385,159,-54,821
1800,16,2,2355,157,-53,304
1800,16,2,2415,161,-54,308
1800,16,2,2370,158,-54,311
1800,16,2,2415,161,-54,811
1800,16,2,2400,160,-53,310
1800,16,2,2370,158,-54,309
1800,16,2,2400,160,-54,307
1800,16,2,2415,161,-54,308
1800,16,2,2430,162,-55,309
1800,16,2,2415,161,-54,303
1800,16,2,2400,160,-54,306
1800,16,2,2385,159,-55,312
1800,16,2,2370,158,-56,814
1800,16,2,2385,159,-54,317
1800,16,2,2385,159,-56,301
1800,16,2,2370,158,-54,307
1800,16,2,2400,160,-56,820
1800,16,2,2355,157,-54,314
1800,16,2,2385,159,-56,810
1800,16,2,2355,157,-56,313
1800,16,2,2400,160,-54,315
1800,16,2,2355,157,-54,807
1800,16,2,2400,160,-54,305
1800,16,2,2415,161,-55,308
1800,16,2,2370,158,-55,312
1800,16,2,2370,158,-54,310
1800,16,2,2370,158,-55,303
1800,16,2,2370,158,-54,307
1800,16,2,2400,160,-55,819
1800,16,2,2400,160,-55,305
1800,16,2,2400,160,-55,304
1800,16,2,2370,158,-54,313
1800,16,2,2400,160,-54,820
1800,16,2,2430,162,-54,305
1800,16,2,2505,167,-54,308
1800,16,2,2445,163,-54,820
1800,16,2,2415,161,-54,814
1800,16,2,2415,161,-54,311
1800,16,2,2355,157,-56,818
1800,16,2,2415,161,-56,309
1800,16,2,2415,161,-55,818
1800,16,2,2385,159,-55,312
1800,16,2,2400,160,-56,816
1800,16,2,2415,161,-56,306
1800,16,2,2400,160,-56,305
1800,16,2,2295,153,-56,308
1800,16,2,2250,150,-57,313
1800,16,2,2400,160,-55,831
1800,16,2,2370,158,-53,804
1800,16,2,2385,159,-53,310
1800,16,2,2400,160,-54,305
1800,16,2,2400,160,-54,304
1800,16,2,2415,161,-55,310
1800,16,2,2535,169,-55,820
1800,16,2,2520,168,-56,305
1800,16,2,2340,156,-54,820
1800,16,2,2385,159,-54,824
1800,16,2,2430,162,-53,814
1800,16,2,2430,162,-54,837
1800,16,2,2415,161,-55,801
1800,16,2,2385,159,-54,824
1800,16,2,2385,159,-53,305
1800,16,2,2370,158,-54,818
1800,16,2,2430,162,-54,818
1800,16,2,2445,163,-54,930
1800,16,2,2370,158,-54,302
E (61974) wifi:No FTM Measurements received from responder!
W (61974) puara-module: FTM Report received with non-success status: 5
# Timeout after 5001 ms, retrying...
1800,16,2,2385,159,-54,320
1800,16,2,2385,159,-53,852
1800,16,2,2400,160,-53,788
1800,16,2,2370,158,-54,830
1800,16,2,2325,155,-54,820
1800,16,2,2370,158,-55,859
1800,16,2,2370,158,-55,257
E (71730) wifi:No FTM Measurements received from responder!
W (71730) puara-module: FTM Report received with non-success status: 5
# Timeout after 5001 ms, retrying...
E (76205) wifi:No FTM Measurements received from responder!
W (76205) puara-module: FTM Report received with non-success status: 5
# Timeout after 5001 ms, retrying...
1800,16,2,2355,157,-54,335
1800,16,2,2355,157,-53,311
1800,16,2,2385,159,-55,819
1800,16,2,2325,155,-54,585
1800,16,2,2325,155,-53,459
1800,16,2,2355,157,-53,799
1800,16,2,2340,156,-54,308
1800,16,2,2355,157,-55,853
1800,16,2,2325,155,-55,785
1800,16,2,2430,162,-54,830
1800,16,2,2385,159,-55,296
1800,16,2,2385,159,-53,313
1800,16,2,2430,162,-54,813
1800,16,2,2340,156,-53,815
1800,16,2,2355,157,-54,312
1800,16,2,2370,158,-52,821
1800,16,2,2370,158,-54,305
1800,16,2,2460,164,-57,821
1800,16,2,2415,161,-55,864
1800,16,2,2460,164,-56,773
1800,16,2,2475,165,-56,827
1800,16,2,2460,164,-56,298
1800,16,2,2475,165,-56,310
1800,16,2,2385,159,-55,818
1800,16,2,2385,159,-54,306
1800,16,2,2385,159,-54,863
1800,16,2,2355,157,-54,265
1800,16,2,2340,156,-55,308
1800,16,2,2355,157,-54,307
1800,16,2,2385,159,-54,820
1800,16,2,2400,160,-54,305
1800,16,2,2385,159,-54,303
1800,16,2,2400,160,-54,311
1800,16,2,2415,161,-55,303
1800,16,2,2415,161,-54,312
E (100606) wifi:No FTM Measurements received from responder!
W (100606) puara-module: FTM Report received with non-success status: 5
# Timeout after 5001 ms, retrying...
1800,16,2,2370,158,-54,324
1800,16,2,2370,158,-54,818
1800,16,2,2355,157,-54,309
1800,16,2,2400,160,-54,820
1800,16,2,2355,157,-54,817
1800,16,2,2355,157,-54,308
1800,16,2,2340,156,-54,304
1800,16,2,2355,157,-53,306
1800,16,2,2355,157,-54,312
1800,16,2,2430,162,-56,420
1800,16,2,2370,158,-54,808
1800,16,2,2340,156,-54,307
1800,16,2,2385,159,-55,854
1800,16,2,2325,155,-54,784
1800,16,2,2355,157,-54,308
1800,16,2,2355,157,-55,307
1800,16,2,2355,157,-54,307
1800,16,2,2310,154,-54,820
1800,16,2,2385,159,-54,820
1800,16,2,2385,159,-54,304
1800,16,2,2415,161,-54,309
1800,16,2,2385,159,-55,309
1800,16,2,2370,158,-54,307
1800,16,2,2385,159,-54,818
1800,16,2,2385,159,-54,306
1800,16,2,2385,159,-55,309
1800,16,2,2400,160,-54,818
1800,16,2,2460,164,-55,307
1800,16,2,2430,162,-55,312
1800,16,2,2385,159,-54,814
1800,16,2,2400,160,-54,306
1800,16,2,2400,160,-54,306
1800,16,2,2370,158,-54,311
1800,16,2,2475,165,-55,819
1800,16,2,2580,172,-56,306
1800,16,2,2610,174,-58,307
1800,16,2,2580,172,-57,308
1800,16,2,2520,168,-56,306
1800,16,2,2505,167,-56,310
1800,16,2,2415,161,-55,820
1800,16,2,2385,159,-56,825
1800,16,2,2385,159,-55,811
1800,16,2,2400,160,-55,857
1800,16,2,2445,163,-55,269
1800,16,2,2445,163,-56,820
1800,16,2,2445,163,-56,858
1800,16,2,2430,162,-55,268
1800,16,2,2460,164,-56,308
1800,16,2,2595,173,-58,306
1800,16,2,2625,175,-58,309
1800,16,2,2670,178,-59,306
1800,16,2,2670,178,-60,306
1800,16,2,2670,178,-59,306
1800,16,2,2745,183,-60,309
1800,16,2,2805,187,-60,308
1800,16,2,2580,172,-58,819
1800,16,2,2520,168,-81,309
1800,16,2,2475,165,-56,315
1800,16,2,2490,166,-57,809
1800,16,2,2505,167,-57,308
1800,16,2,2505,167,-57,311
1800,16,2,2505,167,-57,302
1800,16,2,2490,166,-57,308
1800,16,2,2490,166,-57,305
1800,16,2,2505,167,-61,309
1800,16,2,2505,167,-57,307
1800,16,2,2505,167,-57,312
1800,16,2,2520,168,-57,303
1800,16,2,2520,168,-57,311
1800,16,2,2550,170,-56,818
1800,16,2,2520,168,-57,818
1800,16,2,2490,166,-57,815
1800,16,2,2505,167,-57,310
1800,16,2,2460,164,-56,307
1800,16,2,2430,162,-56,316
1800,16,2,2565,171,-57,912
1800,16,2,2520,168,-57,314
1800,16,2,2565,171,-57,304
1800,16,2,2550,170,-58,304
1800,16,2,2550,170,-57,308
1800,16,2,2490,166,-56,308
1800,16,2,2490,166,-56,307
1800,16,2,2490,166,-56,307
1800,16,2,2505,167,-57,307
1800,16,2,2490,166,-56,314
1800,16,2,2535,169,-57,814
1800,16,2,2535,169,-57,317
1800,16,2,2550,170,-56,512
1800,16,2,2505,167,-57,915
1800,16,2,2505,167,-57,298
1800,16,2,2475,165,-57,313
1800,16,2,2490,166,-56,821
1800,16,2,2475,165,-57,318
1800,16,2,2445,163,-56,294
1800,16,2,2460,164,-56,825
E (149260) wifi:No FTM Measurements received from responder!
W (149260) puara-module: FTM Report received with non-success status: 5
# Timeout after 5001 ms, retrying...
1800,16,2,2610,174,-59,314
1800,16,2,2490,166,-58,316
1800,16,2,2655,177,-59,306
1800,16,2,2640,176,-59,304
1800,16,2,2670,178,-58,826
1800,16,2,2625,175,-58,299
1800,16,2,2640,176,-58,307
1800,16,2,2700,180,-60,821
1800,16,2,2730,182,-59,306
1800,16,2,2250,150,-53,816
1800,16,2,2340,156,-54,308
1800,16,2,2415,161,-55,313
1800,16,2,2340,156,-54,918
1800,16,2,2310,154,-52,317
1800,16,2,2355,157,-55,817
1800,16,2,2370,158,-54,300
1800,16,2,2370,158,-55,311
1800,16,2,2400,160,-55,815
1800,16,2,2355,157,-55,820
1800,16,2,2385,159,-55,825
1800,16,2,2385,159,-55,301
1800,16,2,2400,160,-55,821
1800,16,2,2355,157,-55,821
1800,16,2,2370,158,-55,812
1800,16,2,2370,158,-55,312
1800,16,2,2400,160,-55,308
1800,16,2,2400,160,-55,305
1800,16,2,2415,161,-55,307
1800,16,2,2415,161,-55,308
1800,16,2,2460,164,-54,307
1800,16,2,2400,160,-55,814
1800,16,2,2385,159,-55,312
1800,16,2,2385,159,-55,307
1800,16,2,2385,159,-55,308
1800,16,2,2430,162,-55,819
1800,16,2,2400,160,-55,822
1800,16,2,2385,159,-55,818
1800,16,2,2385,159,-55,820
1800,16,2,2385,159,-55,819
1800,16,2,2400,160,-55,822
1800,16,2,2370,158,-55,816
1800,16,2,2385,159,-55,814
1800,16,2,2385,159,-55,310
1800,16,2,2385,159,-55,308
1800,16,2,2370,158,-56,816
1800,16,2,2370,158,-55,311
1800,16,2,2385,159,-55,309
1800,16,2,2355,157,-55,304
1800,16,2,2385,159,-55,820
1800,16,2,2370,158,-55,843
1800,16,2,2370,158,-55,799
1800,16,2,2355,157,-55,820
1800,16,2,2325,155,-55,829
1800,16,2,2370,158,-55,837
