physical_distance_cm,frame_count,burst_period,estimated_distance_cm,rtt_ns,rssi_dbm,elapsed_ms
# Starting automated sampling: 5 configs x 1000 samples = 5000 total
# Config 1/5: frame_count=16, burst_period=2
E (6829) wifi:No FTM Measurements received from responder!
W (6830) puara-module: FTM Report received with non-success status: 5
# Timeout after 2006 ms, retrying...
2700,16,2,3210,214,-60,388
2700,16,2,3210,214,-60,265
2700,16,2,3345,223,-60,310
2700,16,2,3450,230,-59,315
2700,16,2,3330,222,-60,414
2700,16,2,3285,219,-59,296
2700,16,2,3270,218,-60,314
2700,16,2,3270,218,-60,812
2700,16,2,3135,209,-60,310
2700,16,2,3255,217,-60,820
2700,16,2,3195,213,-60,296
2700,16,2,3270,218,-59,319
2700,16,2,3240,216,-60,813
2700,16,2,3180,212,-60,313
2700,16,2,3210,214,-60,822
2700,16,2,3210,214,-60,291
2700,16,2,3195,213,-60,321
2700,16,2,3180,212,-60,297
2700,16,2,3195,213,-60,321
2700,16,2,3225,215,-60,294
2700,16,2,3210,214,-60,309
2700,16,2,3210,214,-60,314
2700,16,2,3195,213,-60,314
2700,16,2,3180,212,-60,813
2700,16,2,3225,215,-59,821
2700,16,2,3195,213,-60,293
2700,16,2,3195,213,-60,327
2700,16,2,3165,211,-60,804
2700,16,2,3225,215,-60,314
2700,16,2,3225,215,-60,825
2700,16,2,3210,214,-60,292
2700,16,2,3255,217,-60,317
2700,16,2,3210,214,-60,819
2700,16,2,3225,215,-60,303
2700,16,2,3210,214,-60,305
2700,16,2,3225,215,-60,307
2700,16,2,3255,217,-60,308
2700,16,2,3225,215,-60,314
2700,16,2,3210,214,-60,300
2700,16,2,3225,215,-60,314
2700,16,2,3225,215,-61,309
2700,16,2,3180,212,-61,312
2700,16,2,3195,213,-60,813
2700,16,2,3195,213,-60,307
2700,16,2,3195,213,-60,297
2700,16,2,3165,211,-60,346
2700,16,2,3165,211,-60,779
2700,16,2,3165,211,-60,310
2700,16,2,3180,212,-60,310
2700,16,2,3165,211,-60,301
2700,16,2,3135,209,-60,319
2700,16,2,3135,209,-60,820
2700,16,2,3270,218,-60,813
2700,16,2,3210,214,-60,313
2700,16,2,3330,222,-60,879
2700,16,2,3195,213,-60,349
2700,16,2,3165,211,-60,308
2700,16,2,3180,212,-60,812
2700,16,2,3165,211,-60,313
2700,16,2,3180,212,-60,303
2700,16,2,3195,213,-60,305
2700,16,2,3165,211,-60,314
2700,16,2,3195,213,-60,825
2700,16,2,3180,212,-60,814
2700,16,2,3180,212,-60,295
2700,16,2,3210,214,-60,310
2700,16,2,3225,215,-60,320
2700,16,2,3195,213,-60,819
2700,16,2,3135,209,-60,303
2700,16,2,3255,217,-60,310
2700,16,2,3225,215,-60,306
2700,16,2,3210,214,-60,306
2700,16,2,3195,213,-60,294
2700,16,2,3210,214,-60,311
2700,16,2,3195,213,-60,311
2700,16,2,3180,212,-61,314
2700,16,2,3180,212,-60,296
2700,16,2,3195,213,-60,318
2700,16,2,3195,213,-60,297
2700,16,2,3195,213,-60,304
2700,16,2,3210,214,-60,321
2700,16,2,3225,215,-60,295
2700,16,2,3180,212,-60,319
2700,16,2,3165,211,-60,314
2700,16,2,3180,212,-60,305
2700,16,2,3180,212,-56,807
2700,16,2,3150,210,-60,310
2700,16,2,3165,211,-60,311
2700,16,2,3135,209,-60,307
2700,16,2,3135,209,-60,308
2700,16,2,3135,209,-60,819
2700,16,2,3150,210,-60,305
2700,16,2,3135,209,-60,296
2700,16,2,3120,208,-60,312
2700,16,2,3105,207,-60,304
2700,16,2,3105,207,-60,312
2700,16,2,3135,209,-60,308
2700,16,2,3105,207,-60,322
2700,16,2,3135,209,-60,292
2700,16,2,3120,208,-60,302
2700,16,2,3135,209,-60,320
2700,16,2,3135,209,-60,819
2700,16,2,3150,210,-60,307
2700,16,2,3180,212,-60,809
2700,16,2,3150,210,-60,317
2700,16,2,3150,210,-60,812
2700,16,2,3165,211,-60,305
2700,16,2,3165,211,-60,317
2700,16,2,3150,210,-60,307
2700,16,2,3135,209,-60,298
2700,16,2,3240,216,-60,317
2700,16,2,3105,207,-61,820
2700,16,2,2985,199,-60,301
2700,16,2,3165,211,-62,306
2700,16,2,3015,201,-60,308
2700,16,2,3150,210,-62,305
2700,16,2,3195,213,-60,304
2700,16,2,3225,215,-61,307
2700,16,2,3150,210,-61,311
2700,16,2,3165,211,-60,308
2700,16,2,3195,213,-60,307
2700,16,2,3195,213,-60,322
2700,16,2,3330,222,-60,820
2700,16,2,3210,214,-60,298
2700,16,2,3195,213,-60,294
2700,16,2,3180,212,-60,307
2700,16,2,3105,207,-60,313
2700,16,2,3165,211,-60,302
2700,16,2,3240,216,-60,310
2700,16,2,3225,215,-60,318
2700,16,2,3225,215,-60,293
2700,16,2,3150,210,-59,322
2700,16,2,3180,212,-60,306
2700,16,2,3180,212,-60,313
2700,16,2,3270,218,-60,311
2700,16,2,3165,211,-60,804
2700,16,2,3240,216,-59,313
2700,16,2,3240,216,-60,303
2700,16,2,3225,215,-59,306
2700,16,2,3195,213,-60,301
2700,16,2,3225,215,-60,306
2700,16,2,3255,217,-60,320
2700,16,2,3225,215,-59,819
E (66790) wifi:No FTM Measurements received from responder!
W (66790) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
2700,16,2,3120,208,-60,349
2700,16,2,3120,208,-62,303
2700,16,2,3105,207,-60,316
2700,16,2,3135,209,-60,812
2700,16,2,3135,209,-60,303
2700,16,2,3135,209,-60,311
2700,16,2,3105,207,-60,307
2700,16,2,3135,209,-60,317
2700,16,2,3120,208,-60,826
2700,16,2,3135,209,-60,299
2700,16,2,3120,208,-60,307
2700,16,2,3120,208,-60,835
2700,16,2,3150,210,-60,803
2700,16,2,3105,207,-60,309
2700,16,2,3135,209,-60,304
2700,16,2,3120,208,-60,322
2700,16,2,3150,210,-60,796
2700,16,2,3165,211,-60,320
2700,16,2,3165,211,-60,818
2700,16,2,3165,211,-60,408
2700,16,2,3195,213,-60,300
2700,16,2,3165,211,-60,309
2700,16,2,3150,210,-60,304
2700,16,2,3180,212,-60,316
2700,16,2,3165,211,-60,297
2700,16,2,3165,211,-60,318
2700,16,2,3150,210,-60,293
2700,16,2,3150,210,-60,321
2700,16,2,3105,207,-60,813
2700,16,2,3135,209,-60,313
2700,16,2,3105,207,-60,874
2700,16,2,3135,209,-60,252
2700,16,2,3150,210,-60,296
2700,16,2,3135,209,-60,322
2700,16,2,3135,209,-60,812
2700,16,2,3135,209,-60,302
2700,16,2,3120,208,-61,307
2700,16,2,3150,210,-60,307
2700,16,2,3135,209,-60,304
2700,16,2,3135,209,-60,323
2700,16,2,3135,209,-60,811
2700,16,2,3210,214,-60,312
2700,16,2,3135,209,-60,834
2700,16,2,3135,209,-60,293
2700,16,2,3135,209,-60,821
2700,16,2,3135,209,-60,291
2700,16,2,3120,208,-60,315
2700,16,2,3135,209,-60,308
2700,16,2,3135,209,-60,316
2700,16,2,3135,209,-60,304
2700,16,2,3135,209,-60,321
2700,16,2,3150,210,-60,819
2700,16,2,3135,209,-60,806
2700,16,2,3150,210,-60,819
2700,16,2,3135,209,-60,309
2700,16,2,3120,208,-60,821
2700,16,2,3150,210,-60,806
2700,16,2,3135,209,-60,307
2700,16,2,3150,210,-60,303
2700,16,2,3135,209,-60,320
2700,16,2,3135,209,-60,308
2700,16,2,3120,208,-60,300
2700,16,2,3135,209,-60,311
2700,16,2,3135,209,-60,306
2700,16,2,3135,209,-60,307
2700,16,2,3135,209,-60,301
2700,16,2,3150,210,-59,313
2700,16,2,3120,208,-60,311
2700,16,2,3135,209,-60,311
2700,16,2,3135,209,-60,810
E (99657) wifi:No FTM Measurements received from responder!
W (99658) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
2700,16,2,3120,208,-60,358
2700,16,2,3120,208,-60,312
2700,16,2,3120,208,-60,809
2700,16,2,3120,208,-60,318
2700,16,2,3120,208,-60,818
2700,16,2,3105,207,-60,822
2700,16,2,3120,208,-60,802
2700,16,2,3120,208,-60,321
2700,16,2,3135,209,-60,814
2700,16,2,3135,209,-60,306
2700,16,2,3135,209,-60,310
2700,16,2,3150,210,-60,310
2700,16,2,3150,210,-60,311
2700,16,2,3105,207,-60,305
2700,16,2,3135,209,-60,297
2700,16,2,3150,210,-61,306
2700,16,2,3120,208,-60,325
2700,16,2,3135,209,-60,291
2700,16,2,3075,205,-60,312
2700,16,2,3120,208,-60,311
2700,16,2,3150,210,-60,859
E (111848) wifi:No FTM Measurements received from responder!
W (111848) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
2700,16,2,3120,208,-60,321
2700,16,2,3075,205,-60,812
2700,16,2,3060,204,-60,299
2700,16,2,3090,206,-60,304
2700,16,2,3120,208,-60,315
2700,16,2,3135,209,-60,325
2700,16,2,3120,208,-60,295
2700,16,2,3060,204,-59,306
2700,16,2,3120,208,-60,810
2700,16,2,3150,210,-60,315
2700,16,2,3120,208,-60,309
2700,16,2,3090,206,-60,317
2700,16,2,3135,209,-60,298
2700,16,2,3165,211,-60,294
2700,16,2,3120,208,-60,318
2700,16,2,3165,211,-60,312
2700,16,2,3150,210,-60,415
2700,16,2,3135,209,-60,289
2700,16,2,3060,204,-60,333
2700,16,2,3150,210,-60,803
2700,16,2,3135,209,-60,819
2700,16,2,3150,210,-60,293
2700,16,2,3120,208,-60,319
2700,16,2,3105,207,-60,304
2700,16,2,3135,209,-59,313
2700,16,2,3180,212,-60,814
2700,16,2,3120,208,-60,314
2700,16,2,3165,211,-59,300
2700,16,2,3150,210,-60,313
2700,16,2,3180,212,-59,821
E (126180) wifi:No FTM Measurements received from responder!
W (126180) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
2700,16,2,3135,209,-60,244
2700,16,2,3135,209,-60,312
2700,16,2,3120,208,-60,306
2700,16,2,3135,209,-60,311
2700,16,2,3150,210,-60,304
2700,16,2,3180,212,-60,314
2700,16,2,3165,211,-60,304
2700,16,2,3210,214,-60,306
2700,16,2,3150,210,-59,822
2700,16,2,3120,208,-60,297
2700,16,2,3120,208,-59,325
2700,16,2,3135,209,-60,313
2700,16,2,3165,211,-60,838
2700,16,2,3090,206,-60,417
2700,16,2,3180,212,-60,265
2700,16,2,3180,212,-60,305
2700,16,2,3210,214,-60,310
2700,16,2,3210,214,-60,298
2700,16,2,3165,211,-59,315
2700,16,2,3120,208,-60,300
2700,16,2,3150,210,-60,306
2700,16,2,3210,214,-60,316
2700,16,2,3225,215,-59,308
2700,16,2,3210,214,-60,294
2700,16,2,3180,212,-60,321
2700,16,2,3255,217,-59,306
2700,16,2,3240,216,-59,309
2700,16,2,3270,218,-59,297
2700,16,2,3270,218,-60,310
2700,16,2,3300,220,-59,306
2700,16,2,3330,222,-60,314
2700,16,2,3285,219,-59,308
2700,16,2,3255,217,-60,306
2700,16,2,3255,217,-60,297
2700,16,2,3150,210,-59,318
2700,16,2,3135,209,-59,296
2700,16,2,3150,210,-59,314
2700,16,2,3195,213,-59,303
2700,16,2,3180,212,-58,306
2700,16,2,3255,217,-60,303
2700,16,2,3240,216,-60,320
2700,16,2,3135,209,-60,330
