physical_distance_cm,frame_count,burst_period,estimated_distance_cm,rtt_ns,rssi_dbm,elapsed_ms
# Starting automated sampling: 5 configs x 1000 samples = 5000 total
# Config 1/5: frame_count=16, burst_period=2
2100,16,2,2700,180,-58,280
2100,16,2,2670,178,-59,320
2100,16,2,2670,178,-59,297
2100,16,2,2715,181,-58,307
2100,16,2,2685,179,-58,306
2100,16,2,2700,180,-58,307
2100,16,2,2715,181,-58,315
2100,16,2,2700,180,-58,313
2100,16,2,2685,179,-58,296
2100,16,2,2700,180,-58,313
2100,16,2,2715,181,-58,301
2100,16,2,2700,180,-58,304
2100,16,2,2715,181,-58,321
2100,16,2,2775,185,-58,306
2100,16,2,2730,182,-58,298
2100,16,2,2745,183,-58,321
2100,16,2,2730,182,-58,802
2100,16,2,2640,176,-58,305
2100,16,2,2640,176,-58,313
2100,16,2,2625,175,-57,315
2100,16,2,2595,173,-57,315
2100,16,2,2610,174,-58,298
2100,16,2,2595,173,-58,297
2100,16,2,2625,175,-58,315
2100,16,2,2640,176,-58,300
2100,16,2,2625,175,-58,309
2100,16,2,2625,175,-58,316
2100,16,2,2625,175,-58,306
2100,16,2,2640,176,-58,307
2100,16,2,2655,177,-58,302
2100,16,2,2610,174,-58,306
2100,16,2,2655,177,-58,317
2100,16,2,2655,177,-58,296
2100,16,2,2625,175,-58,309
2100,16,2,2640,176,-58,304
2100,16,2,2655,177,-58,310
2100,16,2,2640,176,-58,307
2100,16,2,2655,177,-59,304
2100,16,2,2655,177,-58,321
2100,16,2,2640,176,-58,299
2100,16,2,2640,176,-58,308
2100,16,2,2670,178,-59,314
2100,16,2,2655,177,-58,307
2100,16,2,2670,178,-59,296
2100,16,2,2640,176,-58,319
2100,16,2,2610,174,-58,306
2100,16,2,2595,173,-58,295
2100,16,2,2670,178,-58,320
2100,16,2,2655,177,-58,307
2100,16,2,2655,177,-57,308
2100,16,2,2685,179,-59,306
2100,16,2,2655,177,-58,302
2100,16,2,2655,177,-58,301
2100,16,2,2640,176,-58,306
2100,16,2,2685,179,-58,321
2100,16,2,2670,178,-58,295
2100,16,2,2640,176,-58,326
2100,16,2,2670,178,-58,300
2100,16,2,2670,178,-58,298
2100,16,2,2700,180,-58,323
2100,16,2,2670,178,-58,302
2100,16,2,2670,178,-58,303
2100,16,2,2655,177,-58,306
2100,16,2,2670,178,-58,316
2100,16,2,2655,177,-58,292
2100,16,2,2655,177,-58,318
2100,16,2,2655,177,-58,306
2100,16,2,2670,178,-58,300
2100,16,2,2670,178,-58,313
2100,16,2,2640,176,-58,309
2100,16,2,2670,178,-58,307
2100,16,2,2670,178,-58,298
2100,16,2,2670,178,-58,310
2100,16,2,2655,177,-58,313
2100,16,2,2655,177,-58,309
2100,16,2,2670,178,-58,304
2100,16,2,2655,177,-58,296
2100,16,2,2655,177,-58,315
2100,16,2,2670,178,-58,304
2100,16,2,2655,177,-58,311
2100,16,2,2655,177,-58,300
2100,16,2,2640,176,-58,320
2100,16,2,2640,176,-58,306
2100,16,2,2625,175,-58,300
2100,16,2,2595,173,-57,315
2100,16,2,2595,173,-57,397
2100,16,2,2580,172,-58,320
2100,16,2,2640,176,-58,311
2100,16,2,2580,172,-63,307
2100,16,2,2535,169,-58,310
2100,16,2,2550,170,-58,294
2100,16,2,2625,175,-57,303
2100,16,2,2655,177,-57,318
2100,16,2,2610,174,-57,308
2100,16,2,2640,176,-56,309
2100,16,2,2625,175,-57,298
2100,16,2,2580,172,-57,306
2100,16,2,2640,176,-57,315
2100,16,2,2640,176,-57,298
2100,16,2,2610,174,-58,316
2100,16,2,2550,170,-58,302
2100,16,2,2640,176,-58,314
2100,16,2,2610,174,-58,298
2100,16,2,2745,183,-58,303
2100,16,2,2655,177,-57,318
2100,16,2,2685,179,-58,296
2100,16,2,2625,175,-58,312
2100,16,2,2655,177,-58,303
2100,16,2,2700,180,-57,320
2100,16,2,2715,181,-59,307
2100,16,2,2670,178,-58,306
2100,16,2,2745,183,-58,300
2100,16,2,2700,180,-58,309
2100,16,2,2715,181,-58,304
2100,16,2,2625,175,-57,316
2100,16,2,2640,176,-57,296
2100,16,2,2670,178,-58,319
2100,16,2,2655,177,-58,296
2100,16,2,2700,180,-58,305
2100,16,2,2685,179,-58,320
2100,16,2,2670,178,-58,300
2100,16,2,2700,180,-59,309
2100,16,2,2670,178,-58,313
2100,16,2,2670,178,-58,310
2100,16,2,2805,187,-58,290
2100,16,2,2775,185,-58,316
2100,16,2,2775,185,-58,304
2100,16,2,2790,186,-57,306
2100,16,2,2760,184,-58,316
2100,16,2,2790,186,-58,301
2100,16,2,2760,184,-58,303
2100,16,2,2760,184,-58,310
2100,16,2,2775,185,-58,318
2100,16,2,2760,184,-57,293
2100,16,2,2730,182,-58,320
2100,16,2,2760,184,-58,811
2100,16,2,2730,182,-58,303
2100,16,2,2730,182,-57,323
2100,16,2,2715,181,-57,293
2100,16,2,2700,180,-57,317
2100,16,2,2685,179,-58,404
2100,16,2,2715,181,-58,320
2100,16,2,2685,179,-58,302
2100,16,2,2745,183,-57,295
2100,16,2,2760,184,-58,308
2100,16,2,2745,183,-58,317
2100,16,2,2775,185,-58,298
2100,16,2,2790,186,-58,305
2100,16,2,2790,186,-57,319
2100,16,2,2790,186,-58,314
2100,16,2,2775,185,-58,300
2100,16,2,2790,186,-58,318
2100,16,2,2820,188,-57,285
2100,16,2,2835,189,-57,307
2100,16,2,2805,187,-58,310
2100,16,2,2745,183,-58,316
2100,16,2,2745,183,-58,309
2100,16,2,2775,185,-58,305
2100,16,2,2775,185,-58,296
2100,16,2,2790,186,-58,316
2100,16,2,2790,186,-59,310
2100,16,2,2760,184,-58,301
2100,16,2,2730,182,-58,314
2100,16,2,2730,182,-58,295
2100,16,2,2730,182,-58,313
2100,16,2,2760,184,-58,312
2100,16,2,2805,187,-58,295
2100,16,2,2745,183,-58,315
2100,16,2,2745,183,-58,303
2100,16,2,2715,181,-58,317
2100,16,2,2700,180,-82,296
2100,16,2,2685,179,-58,321
2100,16,2,2700,180,-58,298
2100,16,2,2685,179,-58,303
2100,16,2,2715,181,-58,310
2100,16,2,2730,182,-58,315
2100,16,2,2745,183,-58,300
2100,16,2,2715,181,-57,314
2100,16,2,2700,180,-57,317
2100,16,2,2745,183,-58,284
2100,16,2,2730,182,-58,313
2100,16,2,2715,181,-59,315
2100,16,2,2730,182,-57,811
2100,16,2,2715,181,-57,316
2100,16,2,2745,183,-57,308
2100,16,2,2745,183,-57,309
2100,16,2,2775,185,-58,804
2100,16,2,2775,185,-57,307
2100,16,2,2775,185,-57,320
2100,16,2,2715,181,-57,307
2100,16,2,2715,181,-57,298
2100,16,2,2730,182,-57,316
2100,16,2,2700,180,-57,296
2100,16,2,2685,179,-57,319
2100,16,2,2700,180,-57,299
2100,16,2,2700,180,-58,307
2100,16,2,2745,183,-58,320
2100,16,2,2775,185,-57,302
2100,16,2,2730,182,-58,302
2100,16,2,2700,180,-57,325
2100,16,2,2685,179,-58,289
2100,16,2,2730,182,-57,316
2100,16,2,2790,186,-58,307
2100,16,2,2745,183,-58,305
2100,16,2,2745,183,-58,307
2100,16,2,2730,182,-58,296
2100,16,2,2745,183,-65,306
2100,16,2,2715,181,-58,319
2100,16,2,2745,183,-57,310
2100,16,2,2760,184,-58,305
2100,16,2,2745,183,-57,295
2100,16,2,2745,183,-58,310
2100,16,2,2760,184,-57,311
2100,16,2,2715,181,-58,303
2100,16,2,2730,182,-58,326
2100,16,2,2745,183,-58,810
2100,16,2,2715,181,-58,298
2100,16,2,2730,182,-58,312
2100,16,2,2730,182,-57,302
2100,16,2,2730,182,-58,306
2100,16,2,2745,183,-58,318
2100,16,2,2745,183,-57,304
2100,16,2,2730,182,-57,303
2100,16,2,2745,183,-58,313
2100,16,2,2745,183,-58,316
2100,16,2,2805,187,-58,290
2100,16,2,2760,184,-57,306
2100,16,2,2760,184,-57,319
2100,16,2,2760,184,-57,314
2100,16,2,2760,184,-57,291
2100,16,2,2805,187,-57,310
2100,16,2,2760,184,-58,317
2100,16,2,2760,184,-57,305
2100,16,2,2835,189,-58,307
2100,16,2,2745,183,-58,300
2100,16,2,2700,180,-58,314
2100,16,2,2655,177,-57,307
2100,16,2,2670,178,-58,819
2100,16,2,2715,181,-58,312
2100,16,2,2775,185,-58,292
2100,16,2,2775,185,-58,308
2100,16,2,2790,186,-58,305
2100,16,2,2820,188,-58,312
2100,16,2,2790,186,-57,314
2100,16,2,2790,186,-57,327
2100,16,2,2790,186,-58,287
2100,16,2,2790,186,-58,308
2100,16,2,2820,188,-57,313
2100,16,2,2760,184,-59,290
2100,16,2,2760,184,-58,305
2100,16,2,2760,184,-58,310
2100,16,2,2745,183,-58,309
2100,16,2,2730,182,-58,304
2100,16,2,2745,183,-58,311
2100,16,2,2745,183,-58,319
2100,16,2,2730,182,-58,307
2100,16,2,2730,182,-58,304
2100,16,2,2745,183,-58,300
2100,16,2,2730,182,-58,304
2100,16,2,2730,182,-58,305
2100,16,2,2775,185,-58,311
2100,16,2,2760,184,-58,316
2100,16,2,2745,183,-58,806
2100,16,2,2730,182,-58,321
2100,16,2,2700,180,-58,306
2100,16,2,2730,182,-58,298
2100,16,2,2715,181,-58,316
2100,16,2,2730,182,-58,807
2100,16,2,2715,181,-58,327
2100,16,2,2715,181,-58,301
2100,16,2,2730,182,-58,307
2100,16,2,2760,184,-58,306
2100,16,2,2700,180,-58,299
2100,16,2,2715,181,-59,306
2100,16,2,2730,182,-58,306
2100,16,2,2670,178,-58,306
2100,16,2,2730,182,-58,317
2100,16,2,2700,180,-58,298
2100,16,2,2700,180,-58,307
2100,16,2,2745,183,-58,306
2100,16,2,2700,180,-58,306
2100,16,2,2685,179,-58,321
2100,16,2,2745,183,-58,308
2100,16,2,2745,183,-58,301
2100,16,2,2745,183,-58,301
2100,16,2,2775,185,-58,319
2100,16,2,2745,183,-58,296
2100,16,2,2775,185,-58,319
2100,16,2,2790,186,-58,299
2100,16,2,2760,184,-57,304
2100,16,2,2760,184,-58,309
2100,16,2,2715,181,-58,316
2100,16,2,2730,182,-58,308
2100,16,2,2775,185,-58,306
2100,16,2,2745,183,-58,302
2100,16,2,2745,183,-58,337
2100,16,2,2715,181,-58,278
2100,16,2,2760,184,-58,315
2100,16,2,2730,182,-58,296
2100,16,2,2775,185,-58,316
2100,16,2,2700,180,-58,310
2100,16,2,2745,183,-58,295
2100,16,2,2760,184,-58,307
2100,16,2,2745,183,-58,311
2100,16,2,2745,183,-58,302
2100,16,2,2760,184,-58,319
2100,16,2,2730,182,-80,307
2100,16,2,2745,183,-63,300
2100,16,2,2760,184,-57,305
2100,16,2,2760,184,-57,307
2100,16,2,2790,186,-58,314
2100,16,2,2805,187,-58,309
2100,16,2,2805,187,-58,297
2100,16,2,2790,186,-58,317
2100,16,2,2835,189,-57,308
2100,16,2,2835,189,-58,307
2100,16,2,2775,185,-58,309
2100,16,2,2820,188,-57,348
2100,16,2,2790,186,-57,254
E (109026) wifi:No FTM Measurements received from responder!
W (109026) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
2100,16,2,2790,186,-58,261
2100,16,2,2790,186,-57,303
